RID,VERSION,IP,DURATION,AgeBracket,Postcode,Ethnicity,MeanExpectedCurrent,MeanExpectedFuture,Variance,MeanExpectedBest,MeanExpectedWorst,block,design_offset,WaterBills,BidLevelFrequency,bid,CV_WaterBills,CV_CouncilTax,Q16_ClimateCurrentEnvironment,Q16_ClimateCurrentSelf,Q16_MicroplasticsCurrentEnvironment,Q16_MicroplasticsCurrentSelf,Q16_MicroplasticsTen,Q16_MicroplasticsTwentyFive,Q16_MicroplasticsFifty,Q17_PandemicEnvironment,Q17_PandemicMicroplastics,Coronavirus,Charity,Consequentiality,Education,Income,Understanding,participant_id,Gender,CV,Bid,Order,Income_Annual,Variance_StatedConfidenceLevel,Variance_ConfidenceAsSD,Variance_ConfidenceAsVariance,Variance_IndividualLevel,Mean_Change,MeanExpectedCurrent_Scaled,MeanExpectedFuture_Scaled,Mean_MinusLowerBound,Mean_PlusUpperBound,MeanExpectedFuture_SampleMean,Q16_Comparison,LogBidIncome,VarianceLowerBound,VarianceUpperBound,Uncertainty,MEF,MEC,var.cameron,PaymentVehicle_Dummy,Education_HigherEd,Gender_Female,Gender_Dummy,EthnicityDummy,Task,Choice,av_A,av_B,av_C,ID,Respondent,Performance_A,Emission_A,Price_A,Performance_B,Emission_B,Price_B,Performance_C,Emission_C,Price_C
15,7,Anonymised,346.899,2,Anonymised,1,3,2,3,2,4,2,4,100,7,£50.00,1,0,8,7,8,8,9,9,10,4,3,1,0,1,5,5000,10,15,1,1,50,1,60000,3,1.5,2.25,2,5,8,7,-1,5,2.49676025917927,-1,-0.000833680748577453,5,-1,3,0.6999600079984,0.799940011997601,2.25,1,1,Female,0,0,3,3,1,1,1,11,3,0,0,0,50,90,2.5,5,40,1
15,7,Anonymised,346.899,2,Anonymised,1,3,2,3,2,4,2,4,100,7,£50.00,1,0,8,7,8,8,9,9,10,4,3,1,0,1,5,5000,10,15,1,1,50,1,60000,3,1.5,2.25,2,5,8,7,-1,5,2.49676025917927,-1,-0.000833680748577453,5,-1,3,0.6999600079984,0.799940011997601,2.25,1,1,Female,0,0,4,1,1,1,1,12,3,0,0,0,50,40,2.5,10,90,5
21,7,Anonymised,283.265,2,Anonymised,1,2,0,2,0,2,1,0,400,2,£5.00,1,0,11,6,11,9,9,9,11,5,3,0,0,1,3,2750,10,21,0,1,5,1,33000,2,0.5,0.25,2,2,7,5,-2,2,2.49676025917927,-3,-0.000151526631095262,1,-1,1,0.5,0.6999600079984,0.25,1,0,Male,1,0,1,1,1,1,1,13,4,0,0,0,5,10,1,10,90,2.5
21,7,Anonymised,283.265,2,Anonymised,1,2,0,2,0,2,1,0,400,2,£5.00,1,0,11,6,11,9,9,9,11,5,3,0,0,1,3,2750,10,21,0,1,5,1,33000,2,0.5,0.25,2,2,7,5,-2,2,2.49676025917927,-3,-0.000151526631095262,1,-1,1,0.5,0.6999600079984,0.25,1,0,Male,1,0,2,3,1,1,1,14,4,0,0,0,10,40,5,50,10,0.5
21,7,Anonymised,283.265,2,Anonymised,1,2,0,2,0,2,1,0,400,2,£5.00,1,0,11,6,11,9,9,9,11,5,3,0,0,1,3,2750,10,21,0,1,5,1,33000,2,0.5,0.25,2,2,7,5,-2,2,2.49676025917927,-3,-0.000151526631095262,1,-1,1,0.5,0.6999600079984,0.25,1,0,Male,1,0,3,2,1,1,1,15,4,0,0,0,50,40,1,5,10,0.5
21,7,Anonymised,283.265,2,Anonymised,1,2,0,2,0,2,1,0,400,2,£5.00,1,0,11,6,11,9,9,9,11,5,3,0,0,1,3,2750,10,21,0,1,5,1,33000,2,0.5,0.25,2,2,7,5,-2,2,2.49676025917927,-3,-0.000151526631095262,1,-1,1,0.5,0.6999600079984,0.25,1,0,Male,1,0,4,3,1,1,1,16,4,0,0,0,10,10,0.5,50,40,1
22,7,Anonymised,275.37,2,Anonymised,2,2,3,2,3,5,1,0,0,1,£1.00,0,1,9,9,10,8,11,11,11,3,3,1,1,0,5,2250,10,22,1,1,1,1,27000,2,0.5,0.25,2,5,7,8,1,5,2.49676025917927,1,-3.70377229250494e-05,4,2,1,0.799940011997601,0.6999600079984,0.25,0,1,Female,0,1,1,3,1,1,1,17,5,0,0,0,5,10,1,10,90,2.5
22,7,Anonymised,275.37,2,Anonymised,2,2,3,2,3,5,1,0,0,1,£1.00,0,1,9,9,10,8,11,11,11,3,3,1,1,0,5,2250,10,22,1,1,1,1,27000,2,0.5,0.25,2,5,7,8,1,5,2.49676025917927,1,-3.70377229250494e-05,4,2,1,0.799940011997601,0.6999600079984,0.25,0,1,Female,0,1,2,1,1,1,1,18,5,0,0,0,10,40,5,50,10,0.5
22,7,Anonymised,275.37,2,Anonymised,2,2,3,2,3,5,1,0,0,1,£1.00,0,1,9,9,10,8,11,11,11,3,3,1,1,0,5,2250,10,22,1,1,1,1,27000,2,0.5,0.25,2,5,7,8,1,5,2.49676025917927,1,-3.70377229250494e-05,4,2,1,0.799940011997601,0.6999600079984,0.25,0,1,Female,0,1,3,2,1,1,1,19,5,0,0,0,50,40,1,5,10,0.5
22,7,Anonymised,275.37,2,Anonymised,2,2,3,2,3,5,1,0,0,1,£1.00,0,1,9,9,10,8,11,11,11,3,3,1,1,0,5,2250,10,22,1,1,1,1,27000,2,0.5,0.25,2,5,7,8,1,5,2.49676025917927,1,-3.70377229250494e-05,4,2,1,0.799940011997601,0.6999600079984,0.25,0,1,Female,0,1,4,3,1,1,1,20,5,0,0,0,10,10,0.5,50,40,1
23,7,Anonymised,244.844,2,Anonymised,2,4,4,2,4,5,2,4,500,5,£30.00,1,0,11,11,11,11,11,11,11,3,3,0,1,1,5,2250,10,23,1,1,30,1,27000,2,0.5,0.25,0.5,8,9,9,2,6,2.49676025917927,0,-0.00111172885269043,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,1,1,1,1,1,1,21,6,0,0,0,50,10,1,5,40,5
23,7,Anonymised,244.844,2,Anonymised,2,4,4,2,4,5,2,4,500,5,£30.00,1,0,11,11,11,11,11,11,11,3,3,0,1,1,5,2250,10,23,1,1,30,1,27000,2,0.5,0.25,0.5,8,9,9,2,6,2.49676025917927,0,-0.00111172885269043,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,1,2,2,1,1,1,22,6,0,0,0,5,90,2.5,10,10,0.5
23,7,Anonymised,244.844,2,Anonymised,2,4,4,2,4,5,2,4,500,5,£30.00,1,0,11,11,11,11,11,11,11,3,3,0,1,1,5,2250,10,23,1,1,30,1,27000,2,0.5,0.25,0.5,8,9,9,2,6,2.49676025917927,0,-0.00111172885269043,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,1,3,3,1,1,1,23,6,0,0,0,50,90,2.5,5,40,1
23,7,Anonymised,244.844,2,Anonymised,2,4,4,2,4,5,2,4,500,5,£30.00,1,0,11,11,11,11,11,11,11,3,3,0,1,1,5,2250,10,23,1,1,30,1,27000,2,0.5,0.25,0.5,8,9,9,2,6,2.49676025917927,0,-0.00111172885269043,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,1,4,1,1,1,1,24,6,0,0,0,50,40,2.5,10,90,5
20,7,Anonymised,383.986,2,Anonymised,1,2,3,2,2,1,1,0,0,6,£40.00,0,1,9,6,7,6,5,7,8,4,3,1,0,1,3,1750,7,20,1,1,40,1,21000,2,0.5,0.25,2.5,5,7,8,1,5,2.49676025917927,0,-0.00190657827058153,4,2,1,0.799940011997601,0.6999600079984,0.25,0,0,Female,0,0,1,3,1,1,1,25,7,0,0,0,5,10,1,10,90,2.5
20,7,Anonymised,383.986,2,Anonymised,1,2,3,2,2,1,1,0,0,6,£40.00,0,1,9,6,7,6,5,7,8,4,3,1,0,1,3,1750,7,20,1,1,40,1,21000,2,0.5,0.25,2.5,5,7,8,1,5,2.49676025917927,0,-0.00190657827058153,4,2,1,0.799940011997601,0.6999600079984,0.25,0,0,Female,0,0,2,3,1,1,1,26,7,0,0,0,10,40,5,50,10,0.5
20,7,Anonymised,383.986,2,Anonymised,1,2,3,2,2,1,1,0,0,6,£40.00,0,1,9,6,7,6,5,7,8,4,3,1,0,1,3,1750,7,20,1,1,40,1,21000,2,0.5,0.25,2.5,5,7,8,1,5,2.49676025917927,0,-0.00190657827058153,4,2,1,0.799940011997601,0.6999600079984,0.25,0,0,Female,0,0,3,3,1,1,1,27,7,0,0,0,50,40,1,5,10,0.5
20,7,Anonymised,383.986,2,Anonymised,1,2,3,2,2,1,1,0,0,6,£40.00,0,1,9,6,7,6,5,7,8,4,3,1,0,1,3,1750,7,20,1,1,40,1,21000,2,0.5,0.25,2.5,5,7,8,1,5,2.49676025917927,0,-0.00190657827058153,4,2,1,0.799940011997601,0.6999600079984,0.25,0,0,Female,0,0,4,2,1,1,1,28,7,0,0,0,10,10,0.5,50,40,1
16,7,Anonymised,601.283,2,Anonymised,4,4,5,1,5,0,2,4,700,5,£30.00,1,0,11,11,6,6,9,11,11,5,3,0,0,1,5,4500,10,16,0,1,30,1,54000,1,0,0,12.5,9,9,10,4,6,2.49676025917927,5,-0.000555709933722933,5,5,0,0.999900019996001,0.899920015996801,0,1,1,Male,1,1,1,3,1,1,1,29,8,0,0,0,50,10,1,5,40,5
16,7,Anonymised,601.283,2,Anonymised,4,4,5,1,5,0,2,4,700,5,£30.00,1,0,11,11,6,6,9,11,11,5,3,0,0,1,5,4500,10,16,0,1,30,1,54000,1,0,0,12.5,9,9,10,4,6,2.49676025917927,5,-0.000555709933722933,5,5,0,0.999900019996001,0.899920015996801,0,1,1,Male,1,1,2,2,1,1,1,30,8,0,0,0,5,90,2.5,10,10,0.5
16,7,Anonymised,601.283,2,Anonymised,4,4,5,1,5,0,2,4,700,5,£30.00,1,0,11,11,6,6,9,11,11,5,3,0,0,1,5,4500,10,16,0,1,30,1,54000,1,0,0,12.5,9,9,10,4,6,2.49676025917927,5,-0.000555709933722933,5,5,0,0.999900019996001,0.899920015996801,0,1,1,Male,1,1,3,3,1,1,1,31,8,0,0,0,50,90,2.5,5,40,1
16,7,Anonymised,601.283,2,Anonymised,4,4,5,1,5,0,2,4,700,5,£30.00,1,0,11,11,6,6,9,11,11,5,3,0,0,1,5,4500,10,16,0,1,30,1,54000,1,0,0,12.5,9,9,10,4,6,2.49676025917927,5,-0.000555709933722933,5,5,0,0.999900019996001,0.899920015996801,0,1,1,Male,1,1,4,3,1,1,1,32,8,0,0,0,50,40,2.5,10,90,5
25,7,Anonymised,297.274,4,Anonymised,1,4,3,1,3,5,1,0,300,8,£60.00,1,0,11,11,11,11,11,11,8,5,3,0,0,1,5,1750,10,25,0,1,60,1,21000,1,0,0,2,7,9,8,2,4,2.49676025917927,0,-0.00286123228103224,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Male,1,0,1,3,1,1,1,33,9,0,0,0,5,10,1,10,90,2.5
25,7,Anonymised,297.274,4,Anonymised,1,4,3,1,3,5,1,0,300,8,£60.00,1,0,11,11,11,11,11,11,8,5,3,0,0,1,5,1750,10,25,0,1,60,1,21000,1,0,0,2,7,9,8,2,4,2.49676025917927,0,-0.00286123228103224,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Male,1,0,2,3,1,1,1,34,9,0,0,0,10,40,5,50,10,0.5
25,7,Anonymised,297.274,4,Anonymised,1,4,3,1,3,5,1,0,300,8,£60.00,1,0,11,11,11,11,11,11,8,5,3,0,0,1,5,1750,10,25,0,1,60,1,21000,1,0,0,2,7,9,8,2,4,2.49676025917927,0,-0.00286123228103224,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Male,1,0,3,3,1,1,1,35,9,0,0,0,50,40,1,5,10,0.5
25,7,Anonymised,297.274,4,Anonymised,1,4,3,1,3,5,1,0,300,8,£60.00,1,0,11,11,11,11,11,11,8,5,3,0,0,1,5,1750,10,25,0,1,60,1,21000,1,0,0,2,7,9,8,2,4,2.49676025917927,0,-0.00286123228103224,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Male,1,0,4,2,1,1,1,36,9,0,0,0,10,10,0.5,50,40,1
19,7,Anonymised,573.444,1,Anonymised,1,4,3,1,3,3,1,0,300,5,£30.00,1,0,11,9,11,10,11,11,11,3,3,1,1,0,5,250,10,19,1,1,30,1,3000,1,0,0,0,7,9,8,2,4,2.49676025917927,-1,-0.0100503358535015,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Female,0,0,1,3,1,1,1,37,10,0,0,0,5,10,1,10,90,2.5
19,7,Anonymised,573.444,1,Anonymised,1,4,3,1,3,3,1,0,300,5,£30.00,1,0,11,9,11,10,11,11,11,3,3,1,1,0,5,250,10,19,1,1,30,1,3000,1,0,0,0,7,9,8,2,4,2.49676025917927,-1,-0.0100503358535015,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Female,0,0,2,2,1,1,1,38,10,0,0,0,10,40,5,50,10,0.5
19,7,Anonymised,573.444,1,Anonymised,1,4,3,1,3,3,1,0,300,5,£30.00,1,0,11,9,11,10,11,11,11,3,3,1,1,0,5,250,10,19,1,1,30,1,3000,1,0,0,0,7,9,8,2,4,2.49676025917927,-1,-0.0100503358535015,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Female,0,0,3,2,1,1,1,39,10,0,0,0,50,40,1,5,10,0.5
19,7,Anonymised,573.444,1,Anonymised,1,4,3,1,3,3,1,0,300,5,£30.00,1,0,11,9,11,10,11,11,11,3,3,1,1,0,5,250,10,19,1,1,30,1,3000,1,0,0,0,7,9,8,2,4,2.49676025917927,-1,-0.0100503358535015,3,3,0,0.799940011997601,0.899920015996801,0,1,1,Female,0,0,4,3,1,1,1,40,10,0,0,0,10,10,0.5,50,40,1
27,7,Anonymised,367.066,1,Anonymised,1,2,1,3,-3,3,2,4,0,4,£20.00,0,1,10,8,10,8,8,8,8,4,3,0,0,1,5,1750,10,27,1,1,20,1,21000,3,1.5,2.25,10,3,7,6,-2,4,2.49676025917927,0,-0.000952834755271854,4,-2,3,0.5999800039992,0.6999600079984,2.25,0,1,Female,0,0,1,3,1,1,1,41,11,0,0,0,50,10,1,5,40,5
27,7,Anonymised,367.066,1,Anonymised,1,2,1,3,-3,3,2,4,0,4,£20.00,0,1,10,8,10,8,8,8,8,4,3,0,0,1,5,1750,10,27,1,1,20,1,21000,3,1.5,2.25,10,3,7,6,-2,4,2.49676025917927,0,-0.000952834755271854,4,-2,3,0.5999800039992,0.6999600079984,2.25,0,1,Female,0,0,2,2,1,1,1,42,11,0,0,0,5,90,2.5,10,10,0.5
27,7,Anonymised,367.066,1,Anonymised,1,2,1,3,-3,3,2,4,0,4,£20.00,0,1,10,8,10,8,8,8,8,4,3,0,0,1,5,1750,10,27,1,1,20,1,21000,3,1.5,2.25,10,3,7,6,-2,4,2.49676025917927,0,-0.000952834755271854,4,-2,3,0.5999800039992,0.6999600079984,2.25,0,1,Female,0,0,3,3,1,1,1,43,11,0,0,0,50,90,2.5,5,40,1
27,7,Anonymised,367.066,1,Anonymised,1,2,1,3,-3,3,2,4,0,4,£20.00,0,1,10,8,10,8,8,8,8,4,3,0,0,1,5,1750,10,27,1,1,20,1,21000,3,1.5,2.25,10,3,7,6,-2,4,2.49676025917927,0,-0.000952834755271854,4,-2,3,0.5999800039992,0.6999600079984,2.25,0,1,Female,0,0,4,3,1,1,1,44,11,0,0,0,50,40,2.5,10,90,5
28,7,Anonymised,352.058,2,Anonymised,1,1,3,2,3,4,1,0,100,3,£10.00,1,0,9,7,8,6,9,10,10,4,3,0,0,1,5,3500,9,28,1,1,10,1,42000,2,0.5,0.25,0.5,4,6,8,1,5,2.49676025917927,1,-0.000238123587266419,4,2,1,0.799940011997601,0.5999800039992,0.25,1,1,Female,0,0,1,3,1,1,1,45,12,0,0,0,5,10,1,10,90,2.5
28,7,Anonymised,352.058,2,Anonymised,1,1,3,2,3,4,1,0,100,3,£10.00,1,0,9,7,8,6,9,10,10,4,3,0,0,1,5,3500,9,28,1,1,10,1,42000,2,0.5,0.25,0.5,4,6,8,1,5,2.49676025917927,1,-0.000238123587266419,4,2,1,0.799940011997601,0.5999800039992,0.25,1,1,Female,0,0,2,1,1,1,1,46,12,0,0,0,10,40,5,50,10,0.5
28,7,Anonymised,352.058,2,Anonymised,1,1,3,2,3,4,1,0,100,3,£10.00,1,0,9,7,8,6,9,10,10,4,3,0,0,1,5,3500,9,28,1,1,10,1,42000,2,0.5,0.25,0.5,4,6,8,1,5,2.49676025917927,1,-0.000238123587266419,4,2,1,0.799940011997601,0.5999800039992,0.25,1,1,Female,0,0,3,3,1,1,1,47,12,0,0,0,50,40,1,5,10,0.5
28,7,Anonymised,352.058,2,Anonymised,1,1,3,2,3,4,1,0,100,3,£10.00,1,0,9,7,8,6,9,10,10,4,3,0,0,1,5,3500,9,28,1,1,10,1,42000,2,0.5,0.25,0.5,4,6,8,1,5,2.49676025917927,1,-0.000238123587266419,4,2,1,0.799940011997601,0.5999800039992,0.25,1,1,Female,0,0,4,2,1,1,1,48,12,0,0,0,10,10,0.5,50,40,1
34,7,Anonymised,254.344,1,Anonymised,1,-2,1,2,0,1,1,0,0,3,£10.00,0,1,10,5,6,4,6,6,6,4,3,0,0,1,5,4500,9,34,0,1,10,1,54000,2,0.5,0.25,0.5,-1,3,6,-1,3,2.49676025917927,1,-0.000185202334078763,2,0,1,0.5999800039992,0.3000399920016,0.25,0,1,Male,1,0,1,2,1,1,1,49,13,0,0,0,5,10,1,10,90,2.5
34,7,Anonymised,254.344,1,Anonymised,1,-2,1,2,0,1,1,0,0,3,£10.00,0,1,10,5,6,4,6,6,6,4,3,0,0,1,5,4500,9,34,0,1,10,1,54000,2,0.5,0.25,0.5,-1,3,6,-1,3,2.49676025917927,1,-0.000185202334078763,2,0,1,0.5999800039992,0.3000399920016,0.25,0,1,Male,1,0,2,1,1,1,1,50,13,0,0,0,10,40,5,50,10,0.5
34,7,Anonymised,254.344,1,Anonymised,1,-2,1,2,0,1,1,0,0,3,£10.00,0,1,10,5,6,4,6,6,6,4,3,0,0,1,5,4500,9,34,0,1,10,1,54000,2,0.5,0.25,0.5,-1,3,6,-1,3,2.49676025917927,1,-0.000185202334078763,2,0,1,0.5999800039992,0.3000399920016,0.25,0,1,Male,1,0,3,3,1,1,1,51,13,0,0,0,50,40,1,5,10,0.5
34,7,Anonymised,254.344,1,Anonymised,1,-2,1,2,0,1,1,0,0,3,£10.00,0,1,10,5,6,4,6,6,6,4,3,0,0,1,5,4500,9,34,0,1,10,1,54000,2,0.5,0.25,0.5,-1,3,6,-1,3,2.49676025917927,1,-0.000185202334078763,2,0,1,0.5999800039992,0.3000399920016,0.25,0,1,Male,1,0,4,1,1,1,1,52,13,0,0,0,10,10,0.5,50,40,1
33,7,Anonymised,315.472,2,Anonymised,1,1,2,1,3,1,2,4,600,2,£5.00,1,0,11,9,7,7,8,9,10,3,3,1,1,1,4,2750,10,33,0,1,5,1,33000,1,0,0,1,3,6,7,1,3,2.49676025917927,2,-0.000151526631095262,2,2,0,0.6999600079984,0.5999800039992,0,1,0,Male,1,0,1,3,1,1,1,53,14,0,0,0,50,10,1,5,40,5
33,7,Anonymised,315.472,2,Anonymised,1,1,2,1,3,1,2,4,600,2,£5.00,1,0,11,9,7,7,8,9,10,3,3,1,1,1,4,2750,10,33,0,1,5,1,33000,1,0,0,1,3,6,7,1,3,2.49676025917927,2,-0.000151526631095262,2,2,0,0.6999600079984,0.5999800039992,0,1,0,Male,1,0,2,2,1,1,1,54,14,0,0,0,5,90,2.5,10,10,0.5
33,7,Anonymised,315.472,2,Anonymised,1,1,2,1,3,1,2,4,600,2,£5.00,1,0,11,9,7,7,8,9,10,3,3,1,1,1,4,2750,10,33,0,1,5,1,33000,1,0,0,1,3,6,7,1,3,2.49676025917927,2,-0.000151526631095262,2,2,0,0.6999600079984,0.5999800039992,0,1,0,Male,1,0,3,3,1,1,1,55,14,0,0,0,50,90,2.5,5,40,1
33,7,Anonymised,315.472,2,Anonymised,1,1,2,1,3,1,2,4,600,2,£5.00,1,0,11,9,7,7,8,9,10,3,3,1,1,1,4,2750,10,33,0,1,5,1,33000,1,0,0,1,3,6,7,1,3,2.49676025917927,2,-0.000151526631095262,2,2,0,0.6999600079984,0.5999800039992,0,1,0,Male,1,0,4,3,1,1,1,56,14,0,0,0,50,40,2.5,10,90,5
29,7,Anonymised,450.484,2,Anonymised,1,4,3,1,3,3,1,0,300,4,£20.00,2,0,11,10,11,9,10,10,11,5,5,0,1,1,3,1250,10,29,1,0,20,1,15000,1,0,0,0,7,9,8,2,4,2.49676025917927,1,-0.00133422301313661,3,3,0,0.799940011997601,0.899920015996801,0,1,0,Female,0,0,1,1,1,1,1,57,15,0,0,0,5,10,1,10,90,2.5
29,7,Anonymised,450.484,2,Anonymised,1,4,3,1,3,3,1,0,300,4,£20.00,2,0,11,10,11,9,10,10,11,5,5,0,1,1,3,1250,10,29,1,0,20,1,15000,1,0,0,0,7,9,8,2,4,2.49676025917927,1,-0.00133422301313661,3,3,0,0.799940011997601,0.899920015996801,0,1,0,Female,0,0,2,1,1,1,1,58,15,0,0,0,10,40,5,50,10,0.5
29,7,Anonymised,450.484,2,Anonymised,1,4,3,1,3,3,1,0,300,4,£20.00,2,0,11,10,11,9,10,10,11,5,5,0,1,1,3,1250,10,29,1,0,20,1,15000,1,0,0,0,7,9,8,2,4,2.49676025917927,1,-0.00133422301313661,3,3,0,0.799940011997601,0.899920015996801,0,1,0,Female,0,0,3,3,1,1,1,59,15,0,0,0,50,40,1,5,10,0.5
29,7,Anonymised,450.484,2,Anonymised,1,4,3,1,3,3,1,0,300,4,£20.00,2,0,11,10,11,9,10,10,11,5,5,0,1,1,3,1250,10,29,1,0,20,1,15000,1,0,0,0,7,9,8,2,4,2.49676025917927,1,-0.00133422301313661,3,3,0,0.799940011997601,0.899920015996801,0,1,0,Female,0,0,4,2,1,1,1,60,15,0,0,0,10,10,0.5,50,40,1
42,7,Anonymised,190.696,1,Anonymised,1,5,3,2,3,3,1,0,400,1,£1.00,1,0,11,11,11,11,11,11,11,3,3,1,0,1,5,3500,10,42,1,1,1,1,42000,2,0.5,0.25,0,8,10,8,1,5,2.49676025917927,0,-2.38098072607483e-05,4,2,1,0.799940011997601,0.999900019996001,0.25,1,1,Female,0,0,1,3,1,1,1,61,16,0,0,0,5,10,1,10,90,2.5
