RID,VERSION,IP,DURATION,AgeBracket,Postcode,Ethnicity,MeanExpectedCurrent,MeanExpectedFuture,Variance,MeanExpectedBest,MeanExpectedWorst,block,design_offset,WaterBills,BidLevelFrequency,bid,CV_WaterBills,CV_CouncilTax,CVProtests,CVProtestTexts,Q16_ClimateCurrentEnvironment,Q16_ClimateCurrentSelf,Q16_MicroplasticsCurrentEnvironment,Q16_MicroplasticsCurrentSelf,Q16_MicroplasticsTen,Q16_MicroplasticsTwentyFive,Q16_MicroplasticsFifty,Q17_PandemicEnvironment,Q17_PandemicMicroplastics,Coronavirus,Charity,Consequentiality,ConsequentialityText,Education,Income,Understanding,FreeText,participant_id,scenario_1_choice,scenario_2_choice,scenario_3_choice,scenario_4_choice,scenario_1_alt1_x1,scenario_2_alt1_x1,scenario_3_alt1_x1,scenario_4_alt1_x1,scenario_1_alt1_x2,scenario_2_alt1_x2,scenario_3_alt1_x2,scenario_4_alt1_x2,scenario_1_alt1_x3,scenario_2_alt1_x3,scenario_3_alt1_x3,scenario_4_alt1_x3,scenario_1_alt2_x1,scenario_2_alt2_x1,scenario_3_alt2_x1,scenario_4_alt2_x1,scenario_1_alt2_x2,scenario_2_alt2_x2,scenario_3_alt2_x2,scenario_4_alt2_x2,scenario_1_alt2_x3,scenario_2_alt2_x3,scenario_3_alt2_x3,scenario_4_alt2_x3,scenario_1_alt3_x1,scenario_2_alt3_x1,scenario_3_alt3_x1,scenario_4_alt3_x1,scenario_1_alt3_x2,scenario_2_alt3_x2,scenario_3_alt3_x2,scenario_4_alt3_x2,scenario_1_alt3_x3,scenario_2_alt3_x3,scenario_3_alt3_x3,scenario_4_alt3_x3,Gender,CV,Bid,Order,Income_Annual,Variance_StatedConfidenceLevel,Variance_ConfidenceAsSD,Variance_ConfidenceAsVariance,Variance_IndividualLevel,Mean_Change,MeanExpectedCurrent_Scaled,MeanExpectedFuture_Scaled,Mean_MinusLowerBound,Mean_PlusUpperBound,MeanExpectedFuture_SampleMean,Q16_Comparison,LogBidIncome,VarianceLowerBound,VarianceUpperBound,Uncertainty,MEF,MEC,var.cameron,PaymentVehicle_Dummy,Education_HigherEd,Gender_Female,Gender_Dummy,EthnicityDummy
27,7,Anonymised,367.066,1,Anonymised,1,2,1,3,-3,3,2,4,0,4,£20.00,,1,,Anonymised,10,8,10,8,8,8,8,4,3,0,0,1,Anonymised,5,1750,10,Anonymised,27,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,20,1,21000,3,1.5,2.25,10,3,7,6,-2,4,2.49676025917927,0,-0.000952834755271854,4,-2,3,0.5999800039992,0.6999600079984,2.25,0,1,Female,0,0
28,7,Anonymised,352.058,2,Anonymised,1,1,3,2,3,4,1,0,100,3,£10.00,1,,,Anonymised,9,7,8,6,9,10,10,4,3,0,0,1,Anonymised,5,3500,9,Anonymised,28,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,10,1,42000,2,0.5,0.25,0.5,4,6,8,1,5,2.49676025917927,1,-0.000238123587266419,4,2,1,0.799940011997601,0.5999800039992,0.25,1,1,Female,0,0
34,7,Anonymised,254.344,1,Anonymised,1,-2,1,2,0,1,1,0,0,3,£10.00,,1,,Anonymised,10,5,6,4,6,6,6,4,3,0,0,1,Anonymised,5,4500,9,Anonymised,34,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,10,1,54000,2,0.5,0.25,0.5,-1,3,6,-1,3,2.49676025917927,1,-0.000185202334078763,2,0,1,0.5999800039992,0.3000399920016,0.25,0,1,Male,1,0
33,7,Anonymised,315.472,2,Anonymised,1,1,2,1,3,1,2,4,600,2,£5.00,1,,,Anonymised,11,9,7,7,8,9,10,3,3,1,1,1,Anonymised,4,2750,10,Anonymised,33,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,5,1,33000,1,0,0,1,3,6,7,1,3,2.49676025917927,2,-0.000151526631095262,2,2,0,0.6999600079984,0.5999800039992,0,1,0,Male,1,0
29,7,Anonymised,450.484,2,Anonymised,1,4,3,1,3,3,1,0,300,4,£20.00,2,,1,Anonymised,11,10,11,9,10,10,11,5,5,0,1,1,Anonymised,3,1250,10,Anonymised,29,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,0,20,1,15000,1,0,0,0,7,9,8,2,4,2.49676025917927,1,-0.00133422301313661,3,3,0,0.799940011997601,0.899920015996801,0,1,0,Female,0,0
42,7,Anonymised,190.696,1,Anonymised,1,5,3,2,3,3,1,0,400,1,£1.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,1,0,1,Anonymised,5,3500,10,Anonymised,42,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,1,1,42000,2,0.5,0.25,0,8,10,8,1,5,2.49676025917927,0,-2.38098072607483e-05,4,2,1,0.799940011997601,0.999900019996001,0.25,1,1,Female,0,0
31,7,Anonymised,471.15,3,Anonymised,1,4,5,2,4,4,1,0,800,7,£50.00,2,,2,Anonymised,11,11,11,11,11,11,9,3,3,0,1,1,Anonymised,4,1750,7,Anonymised,31,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,0,50,1,21000,2,0.5,0.25,1,9,9,10,3,7,2.49676025917927,0,-0.00238379135527625,6,4,1,0.999900019996001,0.899920015996801,0.25,1,0,Male,1,0
39,7,Anonymised,292.499,1,Anonymised,1,4,4,2,2,3,2,4,0,10,£80.00,,1,,Anonymised,11,9,11,9,11,11,11,3,3,1,1,1,Anonymised,4,4500,10,Anonymised,39,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,80,1,54000,2,0.5,0.25,2.5,8,9,9,2,6,2.49676025917927,0,-0.00148257996022284,5,3,1,0.899920015996801,0.899920015996801,0.25,0,0,Male,1,0
30,7,Anonymised,563.788,4,Anonymised,2,-3,-2,4,-1,1,2,4,700,8,£60.00,1,,,Anonymised,10,8,8,5,8,8,8,3,3,1,0,0,Anonymised,2,3500,7,Anonymised,30,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,60,1,42000,4,2.5,6.25,5,-5,2,3,-6,2,2.49676025917927,3,-0.00142959280959443,3,-7,5,0.3000399920016,0.2000599880024,6.25,1,0,Male,1,1
35,7,Anonymised,455.457,1,Anonymised,1,4,3,2,1,4,2,4,100,6,£40.00,1,,,Anonymised,11,9,11,10,10,10,11,3,3,1,0,0,Anonymised,5,1250,10,Anonymised,35,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,40,1,15000,2,0.5,0.25,2.5,7,9,8,1,5,2.49676025917927,-1,-0.00267022855587892,4,2,1,0.799940011997601,0.899920015996801,0.25,1,1,Male,1,0
24,7,Anonymised,696.213,2,Anonymised,1,3,3,2,3,4,1,0,300,4,£20.00,1,,,Anonymised,9,8,10,8,10,9,9,3,3,1,0,0,Anonymised,5,1750,10,Anonymised,24,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,20,1,21000,2,0.5,0.25,0.5,6,8,8,1,5,2.49676025917927,0,-0.000952834755271854,4,2,1,0.799940011997601,0.799940011997601,0.25,1,1,Female,0,0
46,7,Anonymised,288.615,3,Anonymised,1,2,2,2,2,3,1,0,600,9,£70.00,1,,,Anonymised,10,9,10,9,11,11,11,3,3,1,0,1,Anonymised,5,5000,10,Anonymised,46,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,70,1,60000,2,0.5,0.25,0.5,4,7,7,0,4,2.49676025917927,0,-0.00116734775200678,3,1,1,0.6999600079984,0.6999600079984,0.25,1,1,Female,0,0
53,7,Anonymised,206.305,1,Anonymised,1,2,2,2,2,1,1,0,500,6,£40.00,2,,2,Anonymised,5,3,3,2,8,10,10,3,3,0,0,1,Anonymised,4,3500,9,Anonymised,53,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,0,40,1,42000,2,0.5,0.25,0.5,4,7,7,0,4,2.49676025917927,1,-0.000952834755271854,3,1,1,0.6999600079984,0.6999600079984,0.25,1,0,Female,0,0
40,7,Anonymised,381.384,2,Anonymised,1,2,3,2,3,2,1,0,800,3,£10.00,1,,,Anonymised,3,3,3,4,5,4,4,4,2,1,0,1,Anonymised,5,3500,7,Anonymised,40,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,10,1,42000,2,0.5,0.25,0.5,5,7,8,1,5,2.49676025917927,-1,-0.000238123587266419,4,2,1,0.799940011997601,0.6999600079984,0.25,1,1,Male,1,0
52,7,Anonymised,243.428,1,Anonymised,1,3,2,2,2,2,1,0,0,10,£80.00,,1,,Anonymised,10,10,10,10,10,10,10,4,4,1,0,1,Anonymised,5,250,10,Anonymised,52,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,80,1,3000,2,0.5,0.25,0,5,8,7,0,4,2.49676025917927,0,-0.0270286723879193,3,1,1,0.6999600079984,0.799940011997601,0.25,0,1,Female,0,0
50,7,Anonymised,371.332,1,Anonymised,2,-1,1,2,-1,0,2,4,500,8,£60.00,2,,2,Anonymised,9,8,5,5,7,8,9,4,3,1,1,1,Anonymised,5,4500,8,Anonymised,50,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,0,60,1,54000,2,0.5,0.25,2.5,0,4,6,-1,3,2.49676025917927,3,-0.00111172885269043,2,0,1,0.5999800039992,0.4000199960008,0.25,1,1,Female,0,1
18,7,Anonymised,1218.503,3,Anonymised,1,-2,-1,2,4,4,1,0,800,6,£40.00,2,,1,Anonymised,11,11,11,11,11,11,11,3,3,1,1,1,Anonymised,3,250,10,Anonymised,18,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,0,40,1,3000,2,0.5,0.25,25,-3,3,4,-3,1,2.49676025917927,0,-0.0134230203321407,0,-2,1,0.4000199960008,0.3000399920016,0.25,1,0,Female,0,0
47,7,Anonymised,408.18,2,Anonymised,1,-2,0,4,0,0,2,4,500,7,£50.00,1,,,Anonymised,6,5,5,4,5,6,4,3,3,1,0,1,Anonymised,5,3500,10,Anonymised,47,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,50,1,42000,4,2.5,6.25,0,-2,3,5,-4,4,2.49676025917927,1,-0.00119118537015312,5,-5,5,0.5,0.3000399920016,6.25,1,1,Female,0,0
45,7,Anonymised,445.431,1,Anonymised,1,3,5,2,1,5,2,4,0,9,£70.00,,1,,Anonymised,11,10,11,10,11,11,11,3,3,1,1,1,Anonymised,4,2500,10,Anonymised,45,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,70,1,30000,2,0.5,0.25,8,8,8,10,3,7,2.49676025917927,0,-0.00233605979754778,6,4,1,0.999900019996001,0.799940011997601,0.25,0,0,Male,1,0
62,7,Anonymised,250.987,1,Anonymised,1,5,5,2,5,5,1,0,400,7,£50.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,1,0,0,Anonymised,4,1750,9,Anonymised,62,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,50,1,21000,2,0.5,0.25,0,10,10,10,3,7,2.49676025917927,0,-0.00238379135527625,6,4,1,0.999900019996001,0.999900019996001,0.25,1,0,Female,0,0
54,7,Anonymised,341.159,2,Anonymised,1,3,2,2,-1,1,1,0,100,1,£1.00,1,,,Anonymised,10,6,10,5,10,9,10,5,3,1,0,1,Anonymised,2,750,10,Anonymised,54,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,1,1,9000,2,0.5,0.25,5,5,8,7,0,4,2.49676025917927,1,-0.000111117284407854,3,1,1,0.6999600079984,0.799940011997601,0.25,1,0,Male,1,0
71,7,Anonymised,197.356,1,Anonymised,1,4,4,3,4,4,2,4,200,8,£60.00,2,,1,Anonymised,9,6,9,6,10,11,11,3,3,1,0,1,Anonymised,3,2750,10,Anonymised,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,0,60,1,33000,3,1.5,2.25,0,8,9,9,1,7,2.49676025917927,0,-0.00181983671698598,7,1,3,0.899920015996801,0.899920015996801,2.25,1,0,Female,0,0
41,7,Anonymised,517.343,3,Anonymised,5,-1,1,4,1,5,2,4,300,9,£70.00,2,,1,Anonymised,10,8,9,7,9,9,9,4,4,0,0,1,Anonymised,3,250,8,Anonymised,41,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,0,70,1,3000,4,2.5,6.25,8,0,4,6,-3,5,2.49676025917927,1,-0.0236098656391337,6,-4,5,0.5999800039992,0.4000199960008,6.25,1,0,Female,0,1
56,7,Anonymised,338.944,1,Anonymised,1,3,3,2,2,2,2,4,300,8,£60.00,1,,,Anonymised,9,9,9,7,9,9,10,4,3,0,1,1,Anonymised,4,5000,10,Anonymised,56,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,60,1,60000,2,0.5,0.25,1,6,8,8,1,5,2.49676025917927,2,-0.00100050033358353,4,2,1,0.799940011997601,0.799940011997601,0.25,1,0,Female,0,0
59,7,Anonymised,316.449,2,Anonymised,1,3,4,2,3,5,1,0,200,9,£70.00,1,,,Anonymised,11,10,11,10,11,11,11,5,3,1,1,0,Anonymised,4,1750,9,Anonymised,59,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,70,1,21000,2,0.5,0.25,1,7,8,9,2,6,2.49676025917927,0,-0.0033389012655146,5,3,1,0.899920015996801,0.799940011997601,0.25,1,0,Male,1,0
83,7,Anonymised,175.654,2,Anonymised,1,4,3,2,2,3,2,4,400,9,£70.00,2,,1,Anonymised,6,6,6,6,6,6,6,3,3,0,0,1,Anonymised,1,2500,10,Anonymised,83,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,0,70,1,30000,2,0.5,0.25,0.5,7,9,8,1,5,2.49676025917927,0,-0.00233605979754778,4,2,1,0.799940011997601,0.899920015996801,0.25,1,0,Female,0,0
43,7,Anonymised,562.009,2,Anonymised,1,4,4,2,3,3,2,4,400,2,£5.00,1,,,Anonymised,9,9,8,7,8,9,6,4,4,0,1,1,Anonymised,4,3500,10,Anonymised,43,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,5,1,42000,2,0.5,0.25,1,8,9,9,2,6,2.49676025917927,2,-0.000119054705777819,5,3,1,0.899920015996801,0.899920015996801,0.25,1,0,Male,1,0
69,7,Anonymised,258.102,2,Anonymised,2,3,4,2,4,4,2,4,400,6,£40.00,1,,,Anonymised,10,9,9,9,10,10,10,4,3,1,1,1,Anonymised,5,5000,8,Anonymised,69,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,40,1,60000,2,0.5,0.25,0,7,8,9,2,6,2.49676025917927,0,-0.000666888987703768,5,3,1,0.899920015996801,0.799940011997601,0.25,1,1,Female,0,1
76,7,Anonymised,261.065,1,Anonymised,1,1,1,4,0,0,1,0,0,10,£80.00,,1,,Anonymised,7,6,7,6,7,7,7,3,3,1,0,1,Anonymised,4,2500,7,Anonymised,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,80,1,30000,4,2.5,6.25,1,2,6,6,-3,5,2.49676025917927,0,-0.00267022855587892,6,-4,5,0.5999800039992,0.5999800039992,6.25,0,0,Male,1,0
85,7,Anonymised,199.582,3,Anonymised,1,3,1,2,2,2,2,4,400,2,£5.00,1,,,Anonymised,11,11,11,10,10,11,11,3,3,1,0,1,Anonymised,5,2250,10,Anonymised,85,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,5,1,27000,2,0.5,0.25,1,4,8,6,-1,3,2.49676025917927,1,-0.000185202334078763,2,0,1,0.5999800039992,0.799940011997601,0.25,1,1,Female,0,0
37,7,Anonymised,668.889,2,Anonymised,1,3,3,2,0,0,2,4,0,7,£50.00,,1,,Anonymised,11,9,11,9,11,11,11,3,3,0,0,1,Anonymised,3,750,9,Anonymised,37,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,50,1,9000,2,0.5,0.25,9,6,8,8,1,5,2.49676025917927,0,-0.00557104504945536,4,2,1,0.799940011997601,0.799940011997601,0.25,0,0,Female,0,0
67,7,Anonymised,320.081,2,Anonymised,1,3,4,3,3,3,1,0,300,3,£10.00,1,,,Anonymised,10,7,10,6,10,10,10,4,3,1,1,1,Anonymised,5,5000,10,Anonymised,67,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,10,1,60000,3,1.5,2.25,1,7,8,9,1,7,2.49676025917927,1,-0.00016668055709894,7,1,3,0.899920015996801,0.799940011997601,2.25,1,1,Female,0,0
38,7,Anonymised,670.634,1,Anonymised,5,2,0,3,-1,3,2,4,0,4,£20.00,,1,,Anonymised,10,8,9,6,7,7,7,3,3,0,1,0,Anonymised,5,3500,10,Anonymised,38,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,20,1,42000,3,1.5,2.25,5,2,7,5,-3,3,2.49676025917927,2,-0.000476303890881419,3,-3,3,0.5,0.6999600079984,2.25,0,1,Male,1,1
