RID,VERSION,IP,DURATION,AgeBracket,Postcode,Ethnicity,MeanExpectedCurrent,MeanExpectedFuture,Variance,MeanExpectedBest,MeanExpectedWorst,WaterBills,BidLevelFrequency,bid,CV_WaterBills,CV_CouncilTax,block,design_offset,Q16_ClimateCurrentEnvironment,Q16_ClimateCurrentSelf,Q16_MicroplasticsCurrentEnvironment,Q16_MicroplasticsCurrentSelf,Q16_MicroplasticsTen,Q16_MicroplasticsTwentyFive,Q16_MicroplasticsFifty,Q17_PandemicEnvironment,Q17_PandemicMicroplastics,Coronavirus,Charity,Consequentiality,Education,Income,Understanding,participant_id,Gender,CV,Bid,Order,Income_Annual,Variance_StatedConfidenceLevel,Variance_ConfidenceAsSD,Variance_ConfidenceAsVariance,Variance_IndividualLevel,Mean_Change,MeanExpectedCurrent_Scaled,MeanExpectedFuture_Scaled,Mean_MinusLowerBound,Mean_PlusUpperBound,MeanExpectedFuture_SampleMean,Q16_Comparison,LogBidIncome,VarianceLowerBound,VarianceUpperBound,Uncertainty,MEF,MEC,var.cameron,PaymentVehicle_Dummy,Education_HigherEd,Gender_Female,Gender_Dummy,EthnicityDummy,Task,Choice,av_A,av_B,av_C,ID,Respondent,Performance_A,Emission_A,Price_A,Performance_B,Emission_B,Price_B,Performance_C,Emission_C,Price_C,AgeDummy,AdjustedMEC,VarianceChange
11,3,Anonymised,263.33,3,Anonymised,1,4,4,2,2,5,1000,9,£70.00,1,0,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,1,1,70,0,54000,2,0.5,0.25,2.5,8,9,9,2,6,2.55676657584015,0,-0.00129713721513879,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,0,3,3,1,1,1,11,3,0,0,0,50,90,2.5,5,40,1,1,0.8999600039996,2
11,3,Anonymised,263.33,3,Anonymised,1,4,4,2,2,5,1000,9,£70.00,1,0,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,1,1,70,0,54000,2,0.5,0.25,2.5,8,9,9,2,6,2.55676657584015,0,-0.00129713721513879,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Female,0,0,4,3,1,1,1,12,3,0,0,0,50,40,2.5,10,90,5,1,0.8999600039996,2
25,3,Anonymised,174.037,1,Anonymised,1,-1,2,2,3,3,300,7,£50.00,2,0,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,0,0,50,0,27000,2,0.5,0.25,1,1,4,7,0,4,2.55676657584015,1,-0.00185356864932294,3,1,1,0.6999600079984,0.4000199960008,0.25,1,1,Male,1,0,1,2,1,1,1,13,4,0,0,0,5,10,1,10,90,2.5,0,0.54999500049995,2
25,3,Anonymised,174.037,1,Anonymised,1,-1,2,2,3,3,300,7,£50.00,2,0,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,0,0,50,0,27000,2,0.5,0.25,1,1,4,7,0,4,2.55676657584015,1,-0.00185356864932294,3,1,1,0.6999600079984,0.4000199960008,0.25,1,1,Male,1,0,2,3,1,1,1,14,4,0,0,0,10,40,5,50,10,0.5,0,0.54999500049995,2
25,3,Anonymised,174.037,1,Anonymised,1,-1,2,2,3,3,300,7,£50.00,2,0,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,0,0,50,0,27000,2,0.5,0.25,1,1,4,7,0,4,2.55676657584015,1,-0.00185356864932294,3,1,1,0.6999600079984,0.4000199960008,0.25,1,1,Male,1,0,3,2,1,1,1,15,4,0,0,0,50,40,1,5,10,0.5,0,0.54999500049995,2
25,3,Anonymised,174.037,1,Anonymised,1,-1,2,2,3,3,300,7,£50.00,2,0,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,0,0,50,0,27000,2,0.5,0.25,1,1,4,7,0,4,2.55676657584015,1,-0.00185356864932294,3,1,1,0.6999600079984,0.4000199960008,0.25,1,1,Male,1,0,4,3,1,1,1,16,4,0,0,0,10,10,0.5,50,40,1,0,0.54999500049995,2
22,3,Anonymised,203.468,1,Anonymised,1,4,4,2,3,3,600,1,£1.00,1,0,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,0,1,1,0,9000,2,0.5,0.25,1,8,9,9,2,6,2.55676657584015,0,-0.000111117284407854,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Male,1,0,1,2,1,1,1,17,5,0,0,0,50,10,1,5,40,5,0,0.8999600039996,2
22,3,Anonymised,203.468,1,Anonymised,1,4,4,2,3,3,600,1,£1.00,1,0,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,0,1,1,0,9000,2,0.5,0.25,1,8,9,9,2,6,2.55676657584015,0,-0.000111117284407854,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Male,1,0,2,2,1,1,1,18,5,0,0,0,5,90,2.5,10,10,0.5,0,0.8999600039996,2
22,3,Anonymised,203.468,1,Anonymised,1,4,4,2,3,3,600,1,£1.00,1,0,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,0,1,1,0,9000,2,0.5,0.25,1,8,9,9,2,6,2.55676657584015,0,-0.000111117284407854,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Male,1,0,3,2,1,1,1,19,5,0,0,0,50,90,2.5,5,40,1,0,0.8999600039996,2
22,3,Anonymised,203.468,1,Anonymised,1,4,4,2,3,3,600,1,£1.00,1,0,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,0,1,1,0,9000,2,0.5,0.25,1,8,9,9,2,6,2.55676657584015,0,-0.000111117284407854,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Male,1,0,4,2,1,1,1,20,5,0,0,0,50,40,2.5,10,90,5,0,0.8999600039996,2
26,3,Anonymised,192.344,1,Anonymised,1,2,2,2,2,5,0,8,£60.00,0,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,0,1,60,0,30000,2,0.5,0.25,4.5,4,7,7,0,4,2.55676657584015,2,-0.00200200267067308,3,1,1,0.6999600079984,0.6999600079984,0.25,0,0,Male,1,0,1,2,1,1,1,21,6,0,0,0,50,10,1,5,40,5,0,0.6999800019998,2
26,3,Anonymised,192.344,1,Anonymised,1,2,2,2,2,5,0,8,£60.00,0,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,0,1,60,0,30000,2,0.5,0.25,4.5,4,7,7,0,4,2.55676657584015,2,-0.00200200267067308,3,1,1,0.6999600079984,0.6999600079984,0.25,0,0,Male,1,0,2,2,1,1,1,22,6,0,0,0,5,90,2.5,10,10,0.5,0,0.6999800019998,2
26,3,Anonymised,192.344,1,Anonymised,1,2,2,2,2,5,0,8,£60.00,0,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,0,1,60,0,30000,2,0.5,0.25,4.5,4,7,7,0,4,2.55676657584015,2,-0.00200200267067308,3,1,1,0.6999600079984,0.6999600079984,0.25,0,0,Male,1,0,3,1,1,1,1,23,6,0,0,0,50,90,2.5,5,40,1,0,0.6999800019998,2
26,3,Anonymised,192.344,1,Anonymised,1,2,2,2,2,5,0,8,£60.00,0,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,0,1,60,0,30000,2,0.5,0.25,4.5,4,7,7,0,4,2.55676657584015,2,-0.00200200267067308,3,1,1,0.6999600079984,0.6999600079984,0.25,0,0,Male,1,0,4,3,1,1,1,24,6,0,0,0,50,40,2.5,10,90,5,0,0.6999800019998,2
12,3,Anonymised,264.952,1,Anonymised,1,2,2,2,2,4,600,10,£80.00,1,0,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,0,1,80,0,27000,2,0.5,0.25,2,4,7,7,0,4,2.55676657584015,-2,-0.002967361227802,3,1,1,0.6999600079984,0.6999600079984,0.25,1,1,Male,1,0,1,3,1,1,1,25,7,0,0,0,5,10,1,10,90,2.5,0,0.6999800019998,2
12,3,Anonymised,264.952,1,Anonymised,1,2,2,2,2,4,600,10,£80.00,1,0,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,0,1,80,0,27000,2,0.5,0.25,2,4,7,7,0,4,2.55676657584015,-2,-0.002967361227802,3,1,1,0.6999600079984,0.6999600079984,0.25,1,1,Male,1,0,2,2,1,1,1,26,7,0,0,0,10,40,5,50,10,0.5,0,0.6999800019998,2
12,3,Anonymised,264.952,1,Anonymised,1,2,2,2,2,4,600,10,£80.00,1,0,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,0,1,80,0,27000,2,0.5,0.25,2,4,7,7,0,4,2.55676657584015,-2,-0.002967361227802,3,1,1,0.6999600079984,0.6999600079984,0.25,1,1,Male,1,0,3,3,1,1,1,27,7,0,0,0,50,40,1,5,10,0.5,0,0.6999800019998,2
12,3,Anonymised,264.952,1,Anonymised,1,2,2,2,2,4,600,10,£80.00,1,0,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,0,1,80,0,27000,2,0.5,0.25,2,4,7,7,0,4,2.55676657584015,-2,-0.002967361227802,3,1,1,0.6999600079984,0.6999600079984,0.25,1,1,Male,1,0,4,2,1,1,1,28,7,0,0,0,10,10,0.5,50,40,1,0,0.6999800019998,2
15,3,Anonymised,321.708,1,Anonymised,1,2,0,3,-1,5,0,2,£5.00,0,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,0,1,5,0,42000,3,1.5,2.25,13,2,7,5,-3,3,2.55676657584015,-5,-0.000119054705777819,3,-3,3,0.5,0.6999600079984,2.25,0,1,Male,1,0,1,1,1,1,1,29,8,0,0,0,50,10,1,5,40,5,0,0.5999900009999,6
15,3,Anonymised,321.708,1,Anonymised,1,2,0,3,-1,5,0,2,£5.00,0,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,0,1,5,0,42000,3,1.5,2.25,13,2,7,5,-3,3,2.55676657584015,-5,-0.000119054705777819,3,-3,3,0.5,0.6999600079984,2.25,0,1,Male,1,0,2,2,1,1,1,30,8,0,0,0,5,90,2.5,10,10,0.5,0,0.5999900009999,6
15,3,Anonymised,321.708,1,Anonymised,1,2,0,3,-1,5,0,2,£5.00,0,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,0,1,5,0,42000,3,1.5,2.25,13,2,7,5,-3,3,2.55676657584015,-5,-0.000119054705777819,3,-3,3,0.5,0.6999600079984,2.25,0,1,Male,1,0,3,1,1,1,1,31,8,0,0,0,50,90,2.5,5,40,1,0,0.5999900009999,6
15,3,Anonymised,321.708,1,Anonymised,1,2,0,3,-1,5,0,2,£5.00,0,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,0,1,5,0,42000,3,1.5,2.25,13,2,7,5,-3,3,2.55676657584015,-5,-0.000119054705777819,3,-3,3,0.5,0.6999600079984,2.25,0,1,Male,1,0,4,1,1,1,1,32,8,0,0,0,50,40,2.5,10,90,5,0,0.5999900009999,6
29,3,Anonymised,280.863,1,Anonymised,1,2,4,2,4,5,300,3,£10.00,1,0,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,0,1,10,0,27000,2,0.5,0.25,0.5,6,7,9,2,6,2.55676657584015,1,-0.000370438974415772,5,3,1,0.899920015996801,0.6999600079984,0.25,1,0,Male,1,0,1,3,1,1,1,33,9,0,0,0,5,10,1,10,90,2.5,0,0.7999700029997,2
29,3,Anonymised,280.863,1,Anonymised,1,2,4,2,4,5,300,3,£10.00,1,0,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,0,1,10,0,27000,2,0.5,0.25,0.5,6,7,9,2,6,2.55676657584015,1,-0.000370438974415772,5,3,1,0.899920015996801,0.6999600079984,0.25,1,0,Male,1,0,2,1,1,1,1,34,9,0,0,0,10,40,5,50,10,0.5,0,0.7999700029997,2
29,3,Anonymised,280.863,1,Anonymised,1,2,4,2,4,5,300,3,£10.00,1,0,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,0,1,10,0,27000,2,0.5,0.25,0.5,6,7,9,2,6,2.55676657584015,1,-0.000370438974415772,5,3,1,0.899920015996801,0.6999600079984,0.25,1,0,Male,1,0,3,3,1,1,1,35,9,0,0,0,50,40,1,5,10,0.5,0,0.7999700029997,2
29,3,Anonymised,280.863,1,Anonymised,1,2,4,2,4,5,300,3,£10.00,1,0,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,0,1,10,0,27000,2,0.5,0.25,0.5,6,7,9,2,6,2.55676657584015,1,-0.000370438974415772,5,3,1,0.899920015996801,0.6999600079984,0.25,1,0,Male,1,0,4,2,1,1,1,36,9,0,0,0,10,10,0.5,50,40,1,0,0.7999700029997,2
54,3,Anonymised,234.906,1,Anonymised,1,2,3,2,3,3,300,10,£80.00,1,0,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,0,1,80,0,30000,2,0.5,0.25,0,5,7,8,1,5,2.55676657584015,1,-0.00267022855587892,4,2,1,0.799940011997601,0.6999600079984,0.25,1,0,Male,1,0,1,2,1,1,1,37,10,0,0,0,50,10,1,5,40,5,0,0.74997500249975,2
54,3,Anonymised,234.906,1,Anonymised,1,2,3,2,3,3,300,10,£80.00,1,0,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,0,1,80,0,30000,2,0.5,0.25,0,5,7,8,1,5,2.55676657584015,1,-0.00267022855587892,4,2,1,0.799940011997601,0.6999600079984,0.25,1,0,Male,1,0,2,2,1,1,1,38,10,0,0,0,5,90,2.5,10,10,0.5,0,0.74997500249975,2
54,3,Anonymised,234.906,1,Anonymised,1,2,3,2,3,3,300,10,£80.00,1,0,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,0,1,80,0,30000,2,0.5,0.25,0,5,7,8,1,5,2.55676657584015,1,-0.00267022855587892,4,2,1,0.799940011997601,0.6999600079984,0.25,1,0,Male,1,0,3,3,1,1,1,39,10,0,0,0,50,90,2.5,5,40,1,0,0.74997500249975,2
54,3,Anonymised,234.906,1,Anonymised,1,2,3,2,3,3,300,10,£80.00,1,0,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,0,1,80,0,30000,2,0.5,0.25,0,5,7,8,1,5,2.55676657584015,1,-0.00267022855587892,4,2,1,0.799940011997601,0.6999600079984,0.25,1,0,Male,1,0,4,2,1,1,1,40,10,0,0,0,50,40,2.5,10,90,5,0,0.74997500249975,2
13,3,Anonymised,356.621,1,Anonymised,1,4,4,2,2,2,400,4,£20.00,1,0,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,0,1,20,0,27000,2,0.5,0.25,4,8,9,9,2,6,2.55676657584015,1,-0.000741015224719219,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Male,1,0,1,3,1,1,1,41,11,0,0,0,50,10,1,5,40,5,0,0.8999600039996,2
13,3,Anonymised,356.621,1,Anonymised,1,4,4,2,2,2,400,4,£20.00,1,0,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,0,1,20,0,27000,2,0.5,0.25,4,8,9,9,2,6,2.55676657584015,1,-0.000741015224719219,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Male,1,0,2,2,1,1,1,42,11,0,0,0,5,90,2.5,10,10,0.5,0,0.8999600039996,2
13,3,Anonymised,356.621,1,Anonymised,1,4,4,2,2,2,400,4,£20.00,1,0,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,0,1,20,0,27000,2,0.5,0.25,4,8,9,9,2,6,2.55676657584015,1,-0.000741015224719219,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Male,1,0,3,3,1,1,1,43,11,0,0,0,50,90,2.5,5,40,1,0,0.8999600039996,2
13,3,Anonymised,356.621,1,Anonymised,1,4,4,2,2,2,400,4,£20.00,1,0,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,0,1,20,0,27000,2,0.5,0.25,4,8,9,9,2,6,2.55676657584015,1,-0.000741015224719219,5,3,1,0.899920015996801,0.899920015996801,0.25,1,1,Male,1,0,4,2,1,1,1,44,11,0,0,0,50,40,2.5,10,90,5,0,0.8999600039996,2
20,3,Anonymised,327.376,1,Anonymised,1,2,1,2,0,3,400,4,£20.00,2,0,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,0,0,20,0,15000,2,0.5,0.25,2.5,3,7,6,-1,3,2.55676657584015,0,-0.00133422301313661,2,0,1,0.5999800039992,0.6999600079984,0.25,1,0,Male,1,0,1,1,1,1,1,45,12,0,0,0,50,10,1,5,40,5,0,0.64998500149985,2
20,3,Anonymised,327.376,1,Anonymised,1,2,1,2,0,3,400,4,£20.00,2,0,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,0,0,20,0,15000,2,0.5,0.25,2.5,3,7,6,-1,3,2.55676657584015,0,-0.00133422301313661,2,0,1,0.5999800039992,0.6999600079984,0.25,1,0,Male,1,0,2,2,1,1,1,46,12,0,0,0,5,90,2.5,10,10,0.5,0,0.64998500149985,2
20,3,Anonymised,327.376,1,Anonymised,1,2,1,2,0,3,400,4,£20.00,2,0,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,0,0,20,0,15000,2,0.5,0.25,2.5,3,7,6,-1,3,2.55676657584015,0,-0.00133422301313661,2,0,1,0.5999800039992,0.6999600079984,0.25,1,0,Male,1,0,3,3,1,1,1,47,12,0,0,0,50,90,2.5,5,40,1,0,0.64998500149985,2
20,3,Anonymised,327.376,1,Anonymised,1,2,1,2,0,3,400,4,£20.00,2,0,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,0,0,20,0,15000,2,0.5,0.25,2.5,3,7,6,-1,3,2.55676657584015,0,-0.00133422301313661,2,0,1,0.5999800039992,0.6999600079984,0.25,1,0,Male,1,0,4,1,1,1,1,48,12,0,0,0,50,40,2.5,10,90,5,0,0.64998500149985,2
61,3,Anonymised,244.601,1,Anonymised,1,2,1,3,1,4,300,1,£1.00,1,0,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,0,1,1,0,15000,3,1.5,2.25,4.5,3,7,6,-2,4,2.55676657584015,1,-6.66688889876519e-05,4,-2,3,0.5999800039992,0.6999600079984,2.25,1,0,Male,1,0,1,1,1,1,1,49,13,0,0,0,50,10,1,5,40,5,0,0.64998500149985,6
61,3,Anonymised,244.601,1,Anonymised,1,2,1,3,1,4,300,1,£1.00,1,0,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,0,1,1,0,15000,3,1.5,2.25,4.5,3,7,6,-2,4,2.55676657584015,1,-6.66688889876519e-05,4,-2,3,0.5999800039992,0.6999600079984,2.25,1,0,Male,1,0,2,1,1,1,1,50,13,0,0,0,5,90,2.5,10,10,0.5,0,0.64998500149985,6
61,3,Anonymised,244.601,1,Anonymised,1,2,1,3,1,4,300,1,£1.00,1,0,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,0,1,1,0,15000,3,1.5,2.25,4.5,3,7,6,-2,4,2.55676657584015,1,-6.66688889876519e-05,4,-2,3,0.5999800039992,0.6999600079984,2.25,1,0,Male,1,0,3,3,1,1,1,51,13,0,0,0,50,90,2.5,5,40,1,0,0.64998500149985,6
61,3,Anonymised,244.601,1,Anonymised,1,2,1,3,1,4,300,1,£1.00,1,0,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,0,1,1,0,15000,3,1.5,2.25,4.5,3,7,6,-2,4,2.55676657584015,1,-6.66688889876519e-05,4,-2,3,0.5999800039992,0.6999600079984,2.25,1,0,Male,1,0,4,1,1,1,1,52,13,0,0,0,50,40,2.5,10,90,5,0,0.64998500149985,6
47,3,Anonymised,287.598,1,Anonymised,1,-2,1,1,1,1,700,3,£10.00,2,0,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,0,0,10,0,27000,1,0,0,0,-1,3,6,0,2,2.55676657584015,0,-0.000370438974415772,1,1,0,0.5999800039992,0.3000399920016,0,1,1,Male,1,0,1,2,1,1,1,53,14,0,0,0,50,10,1,5,40,5,0,0.45000499950005,0
47,3,Anonymised,287.598,1,Anonymised,1,-2,1,1,1,1,700,3,£10.00,2,0,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,0,0,10,0,27000,1,0,0,0,-1,3,6,0,2,2.55676657584015,0,-0.000370438974415772,1,1,0,0.5999800039992,0.3000399920016,0,1,1,Male,1,0,2,3,1,1,1,54,14,0,0,0,5,90,2.5,10,10,0.5,0,0.45000499950005,0
47,3,Anonymised,287.598,1,Anonymised,1,-2,1,1,1,1,700,3,£10.00,2,0,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,0,0,10,0,27000,1,0,0,0,-1,3,6,0,2,2.55676657584015,0,-0.000370438974415772,1,1,0,0.5999800039992,0.3000399920016,0,1,1,Male,1,0,3,3,1,1,1,55,14,0,0,0,50,90,2.5,5,40,1,0,0.45000499950005,0
47,3,Anonymised,287.598,1,Anonymised,1,-2,1,1,1,1,700,3,£10.00,2,0,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,0,0,10,0,27000,1,0,0,0,-1,3,6,0,2,2.55676657584015,0,-0.000370438974415772,1,1,0,0.5999800039992,0.3000399920016,0,1,1,Male,1,0,4,1,1,1,1,56,14,0,0,0,50,40,2.5,10,90,5,0,0.45000499950005,0
37,3,Anonymised,302.42,2,Anonymised,1,3,3,2,4,4,300,5,£30.00,1,0,1,0,10,6,10,6,11,11,11,4,3,1,0,1,5,2750,10,37,1,1,30,0,33000,2,0.5,0.25,1,6,8,8,1,5,2.55676657584015,0,-0.0009095043828405,4,2,1,0.799940011997601,0.799940011997601,0.25,1,1,Female,0,0,1,2,1,1,1,57,15,0,0,0,5,10,1,10,90,2.5,0,0.7999700029997,2
