"","Task","Choice","RID","VERSION","IP","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","CV","av_A","av_B","av_C","ID","Respondent","Performance_A","Emission_A","Price_A","Performance_B","Emission_B","Price_B","Performance_C","Emission_C","Price_C","Order"
"X9.2",3,3," 15","7","18.6a8.6c.0"," 346.899","1","2","Yo10 4qp","1"," 3"," 2","3"," 2"," 4","2","4"," 100"," 7","50"," 1",NA," 8"," 7"," 8"," 8"," 9"," 9","10","4","3","1","0","1","5","5000","10"," 15","1",1,1,1,11,3,0,0,0,50,90,2.5,5,40,1,1
"X9.3",4,1," 15","7","18.6a8.6c.0"," 346.899","1","2","Yo10 4qp","1"," 3"," 2","3"," 2"," 4","2","4"," 100"," 7","50"," 1",NA," 8"," 7"," 8"," 8"," 9"," 9","10","4","3","1","0","1","5","5000","10"," 15","1",1,1,1,12,3,0,0,0,50,40,2.5,10,90,5,1
"X10",1,1," 21","7","9a3.7.505.8"," 283.265","0","2","DT2 8SY","1"," 2"," 0","2"," 0"," 2","1","0"," 400"," 2"," 5"," 1",NA,"11"," 6","11"," 9"," 9"," 9","11","5","3","0","0","1","3","2750","10"," 21","1",1,1,1,13,4,0,0,0,5,10,1,10,90,2.5,1
"X10.1",2,3," 21","7","9a3.7.505.8"," 283.265","0","2","DT2 8SY","1"," 2"," 0","2"," 0"," 2","1","0"," 400"," 2"," 5"," 1",NA,"11"," 6","11"," 9"," 9"," 9","11","5","3","0","0","1","3","2750","10"," 21","1",1,1,1,14,4,0,0,0,10,40,5,50,10,0.5,1
"X10.2",3,2," 21","7","9a3.7.505.8"," 283.265","0","2","DT2 8SY","1"," 2"," 0","2"," 0"," 2","1","0"," 400"," 2"," 5"," 1",NA,"11"," 6","11"," 9"," 9"," 9","11","5","3","0","0","1","3","2750","10"," 21","1",1,1,1,15,4,0,0,0,50,40,1,5,10,0.5,1
"X10.3",4,3," 21","7","9a3.7.505.8"," 283.265","0","2","DT2 8SY","1"," 2"," 0","2"," 0"," 2","1","0"," 400"," 2"," 5"," 1",NA,"11"," 6","11"," 9"," 9"," 9","11","5","3","0","0","1","3","2750","10"," 21","1",1,1,1,16,4,0,0,0,10,10,0.5,50,40,1,1
"X11",1,3," 22","7","9.d62.9c8.9"," 275.370","1","2","EH3 6SB","2"," 2"," 3","2"," 3"," 5","1","0","   0"," 1"," 1",NA," 1"," 9"," 9","10"," 8","11","11","11","3","3","1","1","0","5","2250","10"," 22","1",1,1,1,17,5,0,0,0,5,10,1,10,90,2.5,1
"X11.1",2,1," 22","7","9.d62.9c8.9"," 275.370","1","2","EH3 6SB","2"," 2"," 3","2"," 3"," 5","1","0","   0"," 1"," 1",NA," 1"," 9"," 9","10"," 8","11","11","11","3","3","1","1","0","5","2250","10"," 22","1",1,1,1,18,5,0,0,0,10,40,5,50,10,0.5,1
"X11.2",3,2," 22","7","9.d62.9c8.9"," 275.370","1","2","EH3 6SB","2"," 2"," 3","2"," 3"," 5","1","0","   0"," 1"," 1",NA," 1"," 9"," 9","10"," 8","11","11","11","3","3","1","1","0","5","2250","10"," 22","1",1,1,1,19,5,0,0,0,50,40,1,5,10,0.5,1
"X11.3",4,3," 22","7","9.d62.9c8.9"," 275.370","1","2","EH3 6SB","2"," 2"," 3","2"," 3"," 5","1","0","   0"," 1"," 1",NA," 1"," 9"," 9","10"," 8","11","11","11","3","3","1","1","0","5","2250","10"," 22","1",1,1,1,20,5,0,0,0,10,10,0.5,50,40,1,1
"X12",1,1," 23","7","9.f4.24c0.b"," 244.844","1","2","NG5 2DJ","2"," 4"," 4","2"," 4"," 5","2","4"," 500"," 5","30"," 1",NA,"11","11","11","11","11","11","11","3","3","0","1","1","5","2250","10"," 23","1",1,1,1,21,6,0,0,0,50,10,1,5,40,5,1
"X12.1",2,2," 23","7","9.f4.24c0.b"," 244.844","1","2","NG5 2DJ","2"," 4"," 4","2"," 4"," 5","2","4"," 500"," 5","30"," 1",NA,"11","11","11","11","11","11","11","3","3","0","1","1","5","2250","10"," 23","1",1,1,1,22,6,0,0,0,5,90,2.5,10,10,0.5,1
"X12.2",3,3," 23","7","9.f4.24c0.b"," 244.844","1","2","NG5 2DJ","2"," 4"," 4","2"," 4"," 5","2","4"," 500"," 5","30"," 1",NA,"11","11","11","11","11","11","11","3","3","0","1","1","5","2250","10"," 23","1",1,1,1,23,6,0,0,0,50,90,2.5,5,40,1,1
"X12.3",4,1," 23","7","9.f4.24c0.b"," 244.844","1","2","NG5 2DJ","2"," 4"," 4","2"," 4"," 5","2","4"," 500"," 5","30"," 1",NA,"11","11","11","11","11","11","11","3","3","0","1","1","5","2250","10"," 23","1",1,1,1,24,6,0,0,0,50,40,2.5,10,90,5,1
"X13",1,3," 20","7","9.f8.8497.4"," 383.986","1","2","PH211ND","1"," 2"," 3","2"," 2"," 1","1","0","   0"," 6","40",NA," 1"," 9"," 6"," 7"," 6"," 5"," 7"," 8","4","3","1","0","1","3","1750"," 7"," 20","1",1,1,1,25,7,0,0,0,5,10,1,10,90,2.5,1
"X13.1",2,3," 20","7","9.f8.8497.4"," 383.986","1","2","PH211ND","1"," 2"," 3","2"," 2"," 1","1","0","   0"," 6","40",NA," 1"," 9"," 6"," 7"," 6"," 5"," 7"," 8","4","3","1","0","1","3","1750"," 7"," 20","1",1,1,1,26,7,0,0,0,10,40,5,50,10,0.5,1
"X13.2",3,3," 20","7","9.f8.8497.4"," 383.986","1","2","PH211ND","1"," 2"," 3","2"," 2"," 1","1","0","   0"," 6","40",NA," 1"," 9"," 6"," 7"," 6"," 5"," 7"," 8","4","3","1","0","1","3","1750"," 7"," 20","1",1,1,1,27,7,0,0,0,50,40,1,5,10,0.5,1
"X13.3",4,2," 20","7","9.f8.8497.4"," 383.986","1","2","PH211ND","1"," 2"," 3","2"," 2"," 1","1","0","   0"," 6","40",NA," 1"," 9"," 6"," 7"," 6"," 5"," 7"," 8","4","3","1","0","1","3","1750"," 7"," 20","1",1,1,1,28,7,0,0,0,10,10,0.5,50,40,1,1
"X14",1,3," 16","7","f2.f19.29.a"," 601.283","0","2","TW4 5EU","4"," 4"," 5","1"," 5"," 0","2","4"," 700"," 5","30"," 1",NA,"11","11"," 6"," 6"," 9","11","11","5","3","0","0","1","5","4500","10"," 16","1",1,1,1,29,8,0,0,0,50,10,1,5,40,5,1
"X14.1",2,2," 16","7","f2.f19.29.a"," 601.283","0","2","TW4 5EU","4"," 4"," 5","1"," 5"," 0","2","4"," 700"," 5","30"," 1",NA,"11","11"," 6"," 6"," 9","11","11","5","3","0","0","1","5","4500","10"," 16","1",1,1,1,30,8,0,0,0,5,90,2.5,10,10,0.5,1
"X14.2",3,3," 16","7","f2.f19.29.a"," 601.283","0","2","TW4 5EU","4"," 4"," 5","1"," 5"," 0","2","4"," 700"," 5","30"," 1",NA,"11","11"," 6"," 6"," 9","11","11","5","3","0","0","1","5","4500","10"," 16","1",1,1,1,31,8,0,0,0,50,90,2.5,5,40,1,1
"X14.3",4,3," 16","7","f2.f19.29.a"," 601.283","0","2","TW4 5EU","4"," 4"," 5","1"," 5"," 0","2","4"," 700"," 5","30"," 1",NA,"11","11"," 6"," 6"," 9","11","11","5","3","0","0","1","5","4500","10"," 16","1",1,1,1,32,8,0,0,0,50,40,2.5,10,90,5,1
"X15",1,3," 25","7","f2.b.b794.9"," 297.274","0","4","ch4 7qh","1"," 4"," 3","1"," 3"," 5","1","0"," 300"," 8","60"," 1",NA,"11","11","11","11","11","11"," 8","5","3","0","0","1","5","1750","10"," 25","1",1,1,1,33,9,0,0,0,5,10,1,10,90,2.5,1
"X15.1",2,3," 25","7","f2.b.b794.9"," 297.274","0","4","ch4 7qh","1"," 4"," 3","1"," 3"," 5","1","0"," 300"," 8","60"," 1",NA,"11","11","11","11","11","11"," 8","5","3","0","0","1","5","1750","10"," 25","1",1,1,1,34,9,0,0,0,10,40,5,50,10,0.5,1
"X15.2",3,3," 25","7","f2.b.b794.9"," 297.274","0","4","ch4 7qh","1"," 4"," 3","1"," 3"," 5","1","0"," 300"," 8","60"," 1",NA,"11","11","11","11","11","11"," 8","5","3","0","0","1","5","1750","10"," 25","1",1,1,1,35,9,0,0,0,50,40,1,5,10,0.5,1
"X15.3",4,2," 25","7","f2.b.b794.9"," 297.274","0","4","ch4 7qh","1"," 4"," 3","1"," 3"," 5","1","0"," 300"," 8","60"," 1",NA,"11","11","11","11","11","11"," 8","5","3","0","0","1","5","1750","10"," 25","1",1,1,1,36,9,0,0,0,10,10,0.5,50,40,1,1
"X16",1,3," 19","7","963.96.8e.e"," 573.444","1","1","ex246ad","1"," 4"," 3","1"," 3"," 3","1","0"," 300"," 5","30"," 1",NA,"11"," 9","11","10","11","11","11","3","3","1","1","0","5"," 250","10"," 19","1",1,1,1,37,10,0,0,0,5,10,1,10,90,2.5,1
"X16.1",2,2," 19","7","963.96.8e.e"," 573.444","1","1","ex246ad","1"," 4"," 3","1"," 3"," 3","1","0"," 300"," 5","30"," 1",NA,"11"," 9","11","10","11","11","11","3","3","1","1","0","5"," 250","10"," 19","1",1,1,1,38,10,0,0,0,10,40,5,50,10,0.5,1
"X16.2",3,2," 19","7","963.96.8e.e"," 573.444","1","1","ex246ad","1"," 4"," 3","1"," 3"," 3","1","0"," 300"," 5","30"," 1",NA,"11"," 9","11","10","11","11","11","3","3","1","1","0","5"," 250","10"," 19","1",1,1,1,39,10,0,0,0,50,40,1,5,10,0.5,1
"X16.3",4,3," 19","7","963.96.8e.e"," 573.444","1","1","ex246ad","1"," 4"," 3","1"," 3"," 3","1","0"," 300"," 5","30"," 1",NA,"11"," 9","11","10","11","11","11","3","3","1","1","0","5"," 250","10"," 19","1",1,1,1,40,10,0,0,0,10,10,0.5,50,40,1,1
"X17",1,3," 27","7","93.611.f6.8"," 367.066","1","1","ME5 9JN","1"," 2"," 1","3","-3"," 3","2","4","   0"," 4","20",NA," 1","10"," 8","10"," 8"," 8"," 8"," 8","4","3","0","0","1","5","1750","10"," 27","1",1,1,1,41,11,0,0,0,50,10,1,5,40,5,1
"X17.1",2,2," 27","7","93.611.f6.8"," 367.066","1","1","ME5 9JN","1"," 2"," 1","3","-3"," 3","2","4","   0"," 4","20",NA," 1","10"," 8","10"," 8"," 8"," 8"," 8","4","3","0","0","1","5","1750","10"," 27","1",1,1,1,42,11,0,0,0,5,90,2.5,10,10,0.5,1
"X17.2",3,3," 27","7","93.611.f6.8"," 367.066","1","1","ME5 9JN","1"," 2"," 1","3","-3"," 3","2","4","   0"," 4","20",NA," 1","10"," 8","10"," 8"," 8"," 8"," 8","4","3","0","0","1","5","1750","10"," 27","1",1,1,1,43,11,0,0,0,50,90,2.5,5,40,1,1
"X17.3",4,3," 27","7","93.611.f6.8"," 367.066","1","1","ME5 9JN","1"," 2"," 1","3","-3"," 3","2","4","   0"," 4","20",NA," 1","10"," 8","10"," 8"," 8"," 8"," 8","4","3","0","0","1","5","1750","10"," 27","1",1,1,1,44,11,0,0,0,50,40,2.5,10,90,5,1
"X18",1,3," 28","7","975.02.b4.1"," 352.058","1","2","PO2 9PJ","1"," 1"," 3","2"," 3"," 4","1","0"," 100"," 3","10"," 1",NA," 9"," 7"," 8"," 6"," 9","10","10","4","3","0","0","1","5","3500"," 9"," 28","1",1,1,1,45,12,0,0,0,5,10,1,10,90,2.5,1
"X18.1",2,1," 28","7","975.02.b4.1"," 352.058","1","2","PO2 9PJ","1"," 1"," 3","2"," 3"," 4","1","0"," 100"," 3","10"," 1",NA," 9"," 7"," 8"," 6"," 9","10","10","4","3","0","0","1","5","3500"," 9"," 28","1",1,1,1,46,12,0,0,0,10,40,5,50,10,0.5,1
"X18.2",3,3," 28","7","975.02.b4.1"," 352.058","1","2","PO2 9PJ","1"," 1"," 3","2"," 3"," 4","1","0"," 100"," 3","10"," 1",NA," 9"," 7"," 8"," 6"," 9","10","10","4","3","0","0","1","5","3500"," 9"," 28","1",1,1,1,47,12,0,0,0,50,40,1,5,10,0.5,1
"X18.3",4,2," 28","7","975.02.b4.1"," 352.058","1","2","PO2 9PJ","1"," 1"," 3","2"," 3"," 4","1","0"," 100"," 3","10"," 1",NA," 9"," 7"," 8"," 6"," 9","10","10","4","3","0","0","1","5","3500"," 9"," 28","1",1,1,1,48,12,0,0,0,10,10,0.5,50,40,1,1
"X19",1,2," 34","7","9d.a5b.b4.8"," 254.344","0","1","B90 1DJ","1","-2"," 1","2"," 0"," 1","1","0","   0"," 3","10",NA," 1","10"," 5"," 6"," 4"," 6"," 6"," 6","4","3","0","0","1","5","4500"," 9"," 34","1",1,1,1,49,13,0,0,0,5,10,1,10,90,2.5,1
"X19.1",2,1," 34","7","9d.a5b.b4.8"," 254.344","0","1","B90 1DJ","1","-2"," 1","2"," 0"," 1","1","0","   0"," 3","10",NA," 1","10"," 5"," 6"," 4"," 6"," 6"," 6","4","3","0","0","1","5","4500"," 9"," 34","1",1,1,1,50,13,0,0,0,10,40,5,50,10,0.5,1
"X19.2",3,3," 34","7","9d.a5b.b4.8"," 254.344","0","1","B90 1DJ","1","-2"," 1","2"," 0"," 1","1","0","   0"," 3","10",NA," 1","10"," 5"," 6"," 4"," 6"," 6"," 6","4","3","0","0","1","5","4500"," 9"," 34","1",1,1,1,51,13,0,0,0,50,40,1,5,10,0.5,1
"X19.3",4,1," 34","7","9d.a5b.b4.8"," 254.344","0","1","B90 1DJ","1","-2"," 1","2"," 0"," 1","1","0","   0"," 3","10",NA," 1","10"," 5"," 6"," 4"," 6"," 6"," 6","4","3","0","0","1","5","4500"," 9"," 34","1",1,1,1,52,13,0,0,0,10,10,0.5,50,40,1,1
"X20",1,3," 33","7","950b.d.15.2"," 315.472","0","2","ws122eh","1"," 1"," 2","1"," 3"," 1","2","4"," 600"," 2"," 5"," 1",NA,"11"," 9"," 7"," 7"," 8"," 9","10","3","3","1","1","1","4","2750","10"," 33","1",1,1,1,53,14,0,0,0,50,10,1,5,40,5,1
"X20.1",2,2," 33","7","950b.d.15.2"," 315.472","0","2","ws122eh","1"," 1"," 2","1"," 3"," 1","2","4"," 600"," 2"," 5"," 1",NA,"11"," 9"," 7"," 7"," 8"," 9","10","3","3","1","1","1","4","2750","10"," 33","1",1,1,1,54,14,0,0,0,5,90,2.5,10,10,0.5,1
"X20.2",3,3," 33","7","950b.d.15.2"," 315.472","0","2","ws122eh","1"," 1"," 2","1"," 3"," 1","2","4"," 600"," 2"," 5"," 1",NA,"11"," 9"," 7"," 7"," 8"," 9","10","3","3","1","1","1","4","2750","10"," 33","1",1,1,1,55,14,0,0,0,50,90,2.5,5,40,1,1
"X20.3",4,3," 33","7","950b.d.15.2"," 315.472","0","2","ws122eh","1"," 1"," 2","1"," 3"," 1","2","4"," 600"," 2"," 5"," 1",NA,"11"," 9"," 7"," 7"," 8"," 9","10","3","3","1","1","1","4","2750","10"," 33","1",1,1,1,56,14,0,0,0,50,40,2.5,10,90,5,1
"X21",1,1," 29","7","97.5c.f30.3"," 450.484","1","2","Ss2","1"," 4"," 3","1"," 3"," 3","1","0"," 300"," 4","20"," 2",NA,"11","10","11"," 9","10","10","11","5","5","0","1","1","3","1250","10"," 29","0",1,1,1,57,15,0,0,0,5,10,1,10,90,2.5,1
"X21.1",2,1," 29","7","97.5c.f30.3"," 450.484","1","2","Ss2","1"," 4"," 3","1"," 3"," 3","1","0"," 300"," 4","20"," 2",NA,"11","10","11"," 9","10","10","11","5","5","0","1","1","3","1250","10"," 29","0",1,1,1,58,15,0,0,0,10,40,5,50,10,0.5,1
"X21.2",3,3," 29","7","97.5c.f30.3"," 450.484","1","2","Ss2","1"," 4"," 3","1"," 3"," 3","1","0"," 300"," 4","20"," 2",NA,"11","10","11"," 9","10","10","11","5","5","0","1","1","3","1250","10"," 29","0",1,1,1,59,15,0,0,0,50,40,1,5,10,0.5,1
"X21.3",4,2," 29","7","97.5c.f30.3"," 450.484","1","2","Ss2","1"," 4"," 3","1"," 3"," 3","1","0"," 300"," 4","20"," 2",NA,"11","10","11"," 9","10","10","11","5","5","0","1","1","3","1250","10"," 29","0",1,1,1,60,15,0,0,0,10,10,0.5,50,40,1,1
"X22",1,3," 42","7","c35.77.0e.2"," 190.696","1","1","N6 4RH","1"," 5"," 3","2"," 3"," 3","1","0"," 400"," 1"," 1"," 1",NA,"11","11","11","11","11","11","11","3","3","1","0","1","5","3500","10"," 42","1",1,1,1,61,16,0,0,0,5,10,1,10,90,2.5,1
"X22.1",2,2," 42","7","c35.77.0e.2"," 190.696","1","1","N6 4RH","1"," 5"," 3","2"," 3"," 3","1","0"," 400"," 1"," 1"," 1",NA,"11","11","11","11","11","11","11","3","3","1","0","1","5","3500","10"," 42","1",1,1,1,62,16,0,0,0,10,40,5,50,10,0.5,1
"X22.2",3,2," 42","7","c35.77.0e.2"," 190.696","1","1","N6 4RH","1"," 5"," 3","2"," 3"," 3","1","0"," 400"," 1"," 1"," 1",NA,"11","11","11","11","11","11","11","3","3","1","0","1","5","3500","10"," 42","1",1,1,1,63,16,0,0,0,50,40,1,5,10,0.5,1
"X22.3",4,2," 42","7","c35.77.0e.2"," 190.696","1","1","N6 4RH","1"," 5"," 3","2"," 3"," 3","1","0"," 400"," 1"," 1"," 1",NA,"11","11","11","11","11","11","11","3","3","1","0","1","5","3500","10"," 42","1",1,1,1,64,16,0,0,0,10,10,0.5,50,40,1,1
"X23",1,2," 31","7","9d.5d7.b8.0"," 471.150","0","3","TA6 3LP","1"," 4"," 5","2"," 4"," 4","1","0"," 800"," 7","50"," 2",NA,"11","11","11","11","11","11"," 9","3","3","0","1","1","4","1750"," 7"," 31","0",1,1,1,65,17,0,0,0,5,10,1,10,90,2.5,1
"X23.1",2,1," 31","7","9d.5d7.b8.0"," 471.150","0","3","TA6 3LP","1"," 4"," 5","2"," 4"," 4","1","0"," 800"," 7","50"," 2",NA,"11","11","11","11","11","11"," 9","3","3","0","1","1","4","1750"," 7"," 31","0",1,1,1,66,17,0,0,0,10,40,5,50,10,0.5,1
"X23.2",3,3," 31","7","9d.5d7.b8.0"," 471.150","0","3","TA6 3LP","1"," 4"," 5","2"," 4"," 4","1","0"," 800"," 7","50"," 2",NA,"11","11","11","11","11","11"," 9","3","3","0","1","1","4","1750"," 7"," 31","0",1,1,1,67,17,0,0,0,50,40,1,5,10,0.5,1
"X23.3",4,2," 31","7","9d.5d7.b8.0"," 471.150","0","3","TA6 3LP","1"," 4"," 5","2"," 4"," 4","1","0"," 800"," 7","50"," 2",NA,"11","11","11","11","11","11"," 9","3","3","0","1","1","4","1750"," 7"," 31","0",1,1,1,68,17,0,0,0,10,10,0.5,50,40,1,1
"X24",1,3," 39","7","9346.1.34.7"," 292.499","0","1","wa20sr","1"," 4"," 4","2"," 2"," 3","2","4","   0","10","80",NA," 1","11"," 9","11"," 9","11","11","11","3","3","1","1","1","4","4500","10"," 39","1",1,1,1,69,18,0,0,0,50,10,1,5,40,5,1
"X24.1",2,2," 39","7","9346.1.34.7"," 292.499","0","1","wa20sr","1"," 4"," 4","2"," 2"," 3","2","4","   0","10","80",NA," 1","11"," 9","11"," 9","11","11","11","3","3","1","1","1","4","4500","10"," 39","1",1,1,1,70,18,0,0,0,5,90,2.5,10,10,0.5,1
"X24.2",3,3," 39","7","9346.1.34.7"," 292.499","0","1","wa20sr","1"," 4"," 4","2"," 2"," 3","2","4","   0","10","80",NA," 1","11"," 9","11"," 9","11","11","11","3","3","1","1","1","4","4500","10"," 39","1",1,1,1,71,18,0,0,0,50,90,2.5,5,40,1,1
"X24.3",4,3," 39","7","9346.1.34.7"," 292.499","0","1","wa20sr","1"," 4"," 4","2"," 2"," 3","2","4","   0","10","80",NA," 1","11"," 9","11"," 9","11","11","11","3","3","1","1","1","4","4500","10"," 39","1",1,1,1,72,18,0,0,0,50,40,2.5,10,90,5,1
"X25",1,1," 30","7","9f8b.2b.4.1"," 563.788","0","4","GL50 2DP","2","-3","-2","4","-1"," 1","2","4"," 700"," 8","60"," 1",NA,"10"," 8"," 8"," 5"," 8"," 8"," 8","3","3","1","0","0","2","3500"," 7"," 30","1",1,1,1,73,19,0,0,0,50,10,1,5,40,5,1
"X25.1",2,1," 30","7","9f8b.2b.4.1"," 563.788","0","4","GL50 2DP","2","-3","-2","4","-1"," 1","2","4"," 700"," 8","60"," 1",NA,"10"," 8"," 8"," 5"," 8"," 8"," 8","3","3","1","0","0","2","3500"," 7"," 30","1",1,1,1,74,19,0,0,0,5,90,2.5,10,10,0.5,1
"X25.2",3,3," 30","7","9f8b.2b.4.1"," 563.788","0","4","GL50 2DP","2","-3","-2","4","-1"," 1","2","4"," 700"," 8","60"," 1",NA,"10"," 8"," 8"," 5"," 8"," 8"," 8","3","3","1","0","0","2","3500"," 7"," 30","1",1,1,1,75,19,0,0,0,50,90,2.5,5,40,1,1
"X25.3",4,1," 30","7","9f8b.2b.4.1"," 563.788","0","4","GL50 2DP","2","-3","-2","4","-1"," 1","2","4"," 700"," 8","60"," 1",NA,"10"," 8"," 8"," 5"," 8"," 8"," 8","3","3","1","0","0","2","3500"," 7"," 30","1",1,1,1,76,19,0,0,0,50,40,2.5,10,90,5,1
"X26",1,2," 35","7","93.4c.e94.9"," 455.457","0","1","BH7","1"," 4"," 3","2"," 1"," 4","2","4"," 100"," 6","40"," 1",NA,"11"," 9","11","10","10","10","11","3","3","1","0","0","5","1250","10"," 35","1",1,1,1,77,20,0,0,0,50,10,1,5,40,5,1
"X26.1",2,2," 35","7","93.4c.e94.9"," 455.457","0","1","BH7","1"," 4"," 3","2"," 1"," 4","2","4"," 100"," 6","40"," 1",NA,"11"," 9","11","10","10","10","11","3","3","1","0","0","5","1250","10"," 35","1",1,1,1,78,20,0,0,0,5,90,2.5,10,10,0.5,1
"X26.2",3,3," 35","7","93.4c.e94.9"," 455.457","0","1","BH7","1"," 4"," 3","2"," 1"," 4","2","4"," 100"," 6","40"," 1",NA,"11"," 9","11","10","10","10","11","3","3","1","0","0","5","1250","10"," 35","1",1,1,1,79,20,0,0,0,50,90,2.5,5,40,1,1
"X26.3",4,3," 35","7","93.4c.e94.9"," 455.457","0","1","BH7","1"," 4"," 3","2"," 1"," 4","2","4"," 100"," 6","40"," 1",NA,"11"," 9","11","10","10","10","11","3","3","1","0","0","5","1250","10"," 35","1",1,1,1,80,20,0,0,0,50,40,2.5,10,90,5,1
"X27",1,2," 24","7","9.74c.c82.0"," 696.213","1","2","OL12 0SW","1"," 3"," 3","2"," 3"," 4","1","0"," 300"," 4","20"," 1",NA," 9"," 8","10"," 8","10"," 9"," 9","3","3","1","0","0","5","1750","10"," 24","1",1,1,1,81,21,0,0,0,5,10,1,10,90,2.5,1
"X27.1",2,1," 24","7","9.74c.c82.0"," 696.213","1","2","OL12 0SW","1"," 3"," 3","2"," 3"," 4","1","0"," 300"," 4","20"," 1",NA," 9"," 8","10"," 8","10"," 9"," 9","3","3","1","0","0","5","1750","10"," 24","1",1,1,1,82,21,0,0,0,10,40,5,50,10,0.5,1
