"","Choice","IP","DURATION","Gender","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Understanding","RID.1","CV","av_B","av_C","ID","Respondent","Performance_A","Emission_A","Price_A","Performance_B","Emission_B","Price_B","Performance_C","Emission_C","Price_C","Order"
"11",3,"18.6a8.6c.0",346.899,1,"Yo10 4qp",1,3,2,3,2,4,2,4,100,7,50,1,7,8,8,9,9,10,4,3,1,0,1,5,10,15,1,1,1,11,3,0,0,0,50,90,2.5,5,40,1,1
"12",1,"18.6a8.6c.0",346.899,1,"Yo10 4qp",1,3,2,3,2,4,2,4,100,7,50,1,7,8,8,9,9,10,4,3,1,0,1,5,10,15,1,1,1,12,3,0,0,0,50,40,2.5,10,90,5,1
"13",1,"9a3.7.505.8",283.265,0,"DT2 8SY",1,2,0,2,0,2,1,0,400,2,5,1,6,11,9,9,9,11,5,3,0,0,1,3,10,21,1,1,1,13,4,0,0,0,5,10,1,10,90,2.5,1
"14",3,"9a3.7.505.8",283.265,0,"DT2 8SY",1,2,0,2,0,2,1,0,400,2,5,1,6,11,9,9,9,11,5,3,0,0,1,3,10,21,1,1,1,14,4,0,0,0,10,40,5,50,10,0.5,1
"15",2,"9a3.7.505.8",283.265,0,"DT2 8SY",1,2,0,2,0,2,1,0,400,2,5,1,6,11,9,9,9,11,5,3,0,0,1,3,10,21,1,1,1,15,4,0,0,0,50,40,1,5,10,0.5,1
"16",3,"9a3.7.505.8",283.265,0,"DT2 8SY",1,2,0,2,0,2,1,0,400,2,5,1,6,11,9,9,9,11,5,3,0,0,1,3,10,21,1,1,1,16,4,0,0,0,10,10,0.5,50,40,1,1
"17",3,"9.d62.9c8.9",275.37,1,"EH3 6SB",2,2,3,2,3,5,1,0,0,1,1,NA,9,10,8,11,11,11,3,3,1,1,0,5,10,22,1,1,1,17,5,0,0,0,5,10,1,10,90,2.5,1
"18",1,"9.d62.9c8.9",275.37,1,"EH3 6SB",2,2,3,2,3,5,1,0,0,1,1,NA,9,10,8,11,11,11,3,3,1,1,0,5,10,22,1,1,1,18,5,0,0,0,10,40,5,50,10,0.5,1
"19",2,"9.d62.9c8.9",275.37,1,"EH3 6SB",2,2,3,2,3,5,1,0,0,1,1,NA,9,10,8,11,11,11,3,3,1,1,0,5,10,22,1,1,1,19,5,0,0,0,50,40,1,5,10,0.5,1
"20",3,"9.d62.9c8.9",275.37,1,"EH3 6SB",2,2,3,2,3,5,1,0,0,1,1,NA,9,10,8,11,11,11,3,3,1,1,0,5,10,22,1,1,1,20,5,0,0,0,10,10,0.5,50,40,1,1
"21",1,"9.f4.24c0.b",244.844,1,"NG5 2DJ",2,4,4,2,4,5,2,4,500,5,30,1,11,11,11,11,11,11,3,3,0,1,1,5,10,23,1,1,1,21,6,0,0,0,50,10,1,5,40,5,1
"22",2,"9.f4.24c0.b",244.844,1,"NG5 2DJ",2,4,4,2,4,5,2,4,500,5,30,1,11,11,11,11,11,11,3,3,0,1,1,5,10,23,1,1,1,22,6,0,0,0,5,90,2.5,10,10,0.5,1
"23",3,"9.f4.24c0.b",244.844,1,"NG5 2DJ",2,4,4,2,4,5,2,4,500,5,30,1,11,11,11,11,11,11,3,3,0,1,1,5,10,23,1,1,1,23,6,0,0,0,50,90,2.5,5,40,1,1
"24",1,"9.f4.24c0.b",244.844,1,"NG5 2DJ",2,4,4,2,4,5,2,4,500,5,30,1,11,11,11,11,11,11,3,3,0,1,1,5,10,23,1,1,1,24,6,0,0,0,50,40,2.5,10,90,5,1
"25",3,"9.f8.8497.4",383.986,1,"PH211ND",1,2,3,2,2,1,1,0,0,6,40,NA,6,7,6,5,7,8,4,3,1,0,1,3,7,20,1,1,1,25,7,0,0,0,5,10,1,10,90,2.5,1
"26",3,"9.f8.8497.4",383.986,1,"PH211ND",1,2,3,2,2,1,1,0,0,6,40,NA,6,7,6,5,7,8,4,3,1,0,1,3,7,20,1,1,1,26,7,0,0,0,10,40,5,50,10,0.5,1
"27",3,"9.f8.8497.4",383.986,1,"PH211ND",1,2,3,2,2,1,1,0,0,6,40,NA,6,7,6,5,7,8,4,3,1,0,1,3,7,20,1,1,1,27,7,0,0,0,50,40,1,5,10,0.5,1
"28",2,"9.f8.8497.4",383.986,1,"PH211ND",1,2,3,2,2,1,1,0,0,6,40,NA,6,7,6,5,7,8,4,3,1,0,1,3,7,20,1,1,1,28,7,0,0,0,10,10,0.5,50,40,1,1
"29",3,"f2.f19.29.a",601.283,0,"TW4 5EU",4,4,5,1,5,0,2,4,700,5,30,1,11,6,6,9,11,11,5,3,0,0,1,5,10,16,1,1,1,29,8,0,0,0,50,10,1,5,40,5,1
"30",2,"f2.f19.29.a",601.283,0,"TW4 5EU",4,4,5,1,5,0,2,4,700,5,30,1,11,6,6,9,11,11,5,3,0,0,1,5,10,16,1,1,1,30,8,0,0,0,5,90,2.5,10,10,0.5,1
"31",3,"f2.f19.29.a",601.283,0,"TW4 5EU",4,4,5,1,5,0,2,4,700,5,30,1,11,6,6,9,11,11,5,3,0,0,1,5,10,16,1,1,1,31,8,0,0,0,50,90,2.5,5,40,1,1
"32",3,"f2.f19.29.a",601.283,0,"TW4 5EU",4,4,5,1,5,0,2,4,700,5,30,1,11,6,6,9,11,11,5,3,0,0,1,5,10,16,1,1,1,32,8,0,0,0,50,40,2.5,10,90,5,1
"33",3,"f2.b.b794.9",297.274,0,"ch4 7qh",1,4,3,1,3,5,1,0,300,8,60,1,11,11,11,11,11,8,5,3,0,0,1,5,10,25,1,1,1,33,9,0,0,0,5,10,1,10,90,2.5,1
"34",3,"f2.b.b794.9",297.274,0,"ch4 7qh",1,4,3,1,3,5,1,0,300,8,60,1,11,11,11,11,11,8,5,3,0,0,1,5,10,25,1,1,1,34,9,0,0,0,10,40,5,50,10,0.5,1
"35",3,"f2.b.b794.9",297.274,0,"ch4 7qh",1,4,3,1,3,5,1,0,300,8,60,1,11,11,11,11,11,8,5,3,0,0,1,5,10,25,1,1,1,35,9,0,0,0,50,40,1,5,10,0.5,1
"36",2,"f2.b.b794.9",297.274,0,"ch4 7qh",1,4,3,1,3,5,1,0,300,8,60,1,11,11,11,11,11,8,5,3,0,0,1,5,10,25,1,1,1,36,9,0,0,0,10,10,0.5,50,40,1,1
"37",3,"963.96.8e.e",573.444,1,"ex246ad",1,4,3,1,3,3,1,0,300,5,30,1,9,11,10,11,11,11,3,3,1,1,0,5,10,19,1,1,1,37,10,0,0,0,5,10,1,10,90,2.5,1
"38",2,"963.96.8e.e",573.444,1,"ex246ad",1,4,3,1,3,3,1,0,300,5,30,1,9,11,10,11,11,11,3,3,1,1,0,5,10,19,1,1,1,38,10,0,0,0,10,40,5,50,10,0.5,1
"39",2,"963.96.8e.e",573.444,1,"ex246ad",1,4,3,1,3,3,1,0,300,5,30,1,9,11,10,11,11,11,3,3,1,1,0,5,10,19,1,1,1,39,10,0,0,0,50,40,1,5,10,0.5,1
"40",3,"963.96.8e.e",573.444,1,"ex246ad",1,4,3,1,3,3,1,0,300,5,30,1,9,11,10,11,11,11,3,3,1,1,0,5,10,19,1,1,1,40,10,0,0,0,10,10,0.5,50,40,1,1
"41",3,"93.611.f6.8",367.066,1,"ME5 9JN",1,2,1,3,-3,3,2,4,0,4,20,NA,8,10,8,8,8,8,4,3,0,0,1,5,10,27,1,1,1,41,11,0,0,0,50,10,1,5,40,5,1
"42",2,"93.611.f6.8",367.066,1,"ME5 9JN",1,2,1,3,-3,3,2,4,0,4,20,NA,8,10,8,8,8,8,4,3,0,0,1,5,10,27,1,1,1,42,11,0,0,0,5,90,2.5,10,10,0.5,1
"43",3,"93.611.f6.8",367.066,1,"ME5 9JN",1,2,1,3,-3,3,2,4,0,4,20,NA,8,10,8,8,8,8,4,3,0,0,1,5,10,27,1,1,1,43,11,0,0,0,50,90,2.5,5,40,1,1
"44",3,"93.611.f6.8",367.066,1,"ME5 9JN",1,2,1,3,-3,3,2,4,0,4,20,NA,8,10,8,8,8,8,4,3,0,0,1,5,10,27,1,1,1,44,11,0,0,0,50,40,2.5,10,90,5,1
"45",3,"975.02.b4.1",352.058,1,"PO2 9PJ",1,1,3,2,3,4,1,0,100,3,10,1,7,8,6,9,10,10,4,3,0,0,1,5,9,28,1,1,1,45,12,0,0,0,5,10,1,10,90,2.5,1
"46",1,"975.02.b4.1",352.058,1,"PO2 9PJ",1,1,3,2,3,4,1,0,100,3,10,1,7,8,6,9,10,10,4,3,0,0,1,5,9,28,1,1,1,46,12,0,0,0,10,40,5,50,10,0.5,1
"47",3,"975.02.b4.1",352.058,1,"PO2 9PJ",1,1,3,2,3,4,1,0,100,3,10,1,7,8,6,9,10,10,4,3,0,0,1,5,9,28,1,1,1,47,12,0,0,0,50,40,1,5,10,0.5,1
"48",2,"975.02.b4.1",352.058,1,"PO2 9PJ",1,1,3,2,3,4,1,0,100,3,10,1,7,8,6,9,10,10,4,3,0,0,1,5,9,28,1,1,1,48,12,0,0,0,10,10,0.5,50,40,1,1
"49",2,"9d.a5b.b4.8",254.344,0,"B90 1DJ",1,-2,1,2,0,1,1,0,0,3,10,NA,5,6,4,6,6,6,4,3,0,0,1,5,9,34,1,1,1,49,13,0,0,0,5,10,1,10,90,2.5,1
"50",1,"9d.a5b.b4.8",254.344,0,"B90 1DJ",1,-2,1,2,0,1,1,0,0,3,10,NA,5,6,4,6,6,6,4,3,0,0,1,5,9,34,1,1,1,50,13,0,0,0,10,40,5,50,10,0.5,1
"51",3,"9d.a5b.b4.8",254.344,0,"B90 1DJ",1,-2,1,2,0,1,1,0,0,3,10,NA,5,6,4,6,6,6,4,3,0,0,1,5,9,34,1,1,1,51,13,0,0,0,50,40,1,5,10,0.5,1
"52",1,"9d.a5b.b4.8",254.344,0,"B90 1DJ",1,-2,1,2,0,1,1,0,0,3,10,NA,5,6,4,6,6,6,4,3,0,0,1,5,9,34,1,1,1,52,13,0,0,0,10,10,0.5,50,40,1,1
"53",3,"950b.d.15.2",315.472,0,"ws122eh",1,1,2,1,3,1,2,4,600,2,5,1,9,7,7,8,9,10,3,3,1,1,1,4,10,33,1,1,1,53,14,0,0,0,50,10,1,5,40,5,1
"54",2,"950b.d.15.2",315.472,0,"ws122eh",1,1,2,1,3,1,2,4,600,2,5,1,9,7,7,8,9,10,3,3,1,1,1,4,10,33,1,1,1,54,14,0,0,0,5,90,2.5,10,10,0.5,1
"55",3,"950b.d.15.2",315.472,0,"ws122eh",1,1,2,1,3,1,2,4,600,2,5,1,9,7,7,8,9,10,3,3,1,1,1,4,10,33,1,1,1,55,14,0,0,0,50,90,2.5,5,40,1,1
"56",3,"950b.d.15.2",315.472,0,"ws122eh",1,1,2,1,3,1,2,4,600,2,5,1,9,7,7,8,9,10,3,3,1,1,1,4,10,33,1,1,1,56,14,0,0,0,50,40,2.5,10,90,5,1
"57",1,"97.5c.f30.3",450.484,1,"Ss2",1,4,3,1,3,3,1,0,300,4,20,2,10,11,9,10,10,11,5,5,0,1,1,3,10,29,0,1,1,57,15,0,0,0,5,10,1,10,90,2.5,1
"58",1,"97.5c.f30.3",450.484,1,"Ss2",1,4,3,1,3,3,1,0,300,4,20,2,10,11,9,10,10,11,5,5,0,1,1,3,10,29,0,1,1,58,15,0,0,0,10,40,5,50,10,0.5,1
"59",3,"97.5c.f30.3",450.484,1,"Ss2",1,4,3,1,3,3,1,0,300,4,20,2,10,11,9,10,10,11,5,5,0,1,1,3,10,29,0,1,1,59,15,0,0,0,50,40,1,5,10,0.5,1
"60",2,"97.5c.f30.3",450.484,1,"Ss2",1,4,3,1,3,3,1,0,300,4,20,2,10,11,9,10,10,11,5,5,0,1,1,3,10,29,0,1,1,60,15,0,0,0,10,10,0.5,50,40,1,1
"61",3,"c35.77.0e.2",190.696,1,"N6 4RH",1,5,3,2,3,3,1,0,400,1,1,1,11,11,11,11,11,11,3,3,1,0,1,5,10,42,1,1,1,61,16,0,0,0,5,10,1,10,90,2.5,1
"62",2,"c35.77.0e.2",190.696,1,"N6 4RH",1,5,3,2,3,3,1,0,400,1,1,1,11,11,11,11,11,11,3,3,1,0,1,5,10,42,1,1,1,62,16,0,0,0,10,40,5,50,10,0.5,1
"63",2,"c35.77.0e.2",190.696,1,"N6 4RH",1,5,3,2,3,3,1,0,400,1,1,1,11,11,11,11,11,11,3,3,1,0,1,5,10,42,1,1,1,63,16,0,0,0,50,40,1,5,10,0.5,1
"64",2,"c35.77.0e.2",190.696,1,"N6 4RH",1,5,3,2,3,3,1,0,400,1,1,1,11,11,11,11,11,11,3,3,1,0,1,5,10,42,1,1,1,64,16,0,0,0,10,10,0.5,50,40,1,1
"65",2,"9d.5d7.b8.0",471.15,0,"TA6 3LP",1,4,5,2,4,4,1,0,800,7,50,2,11,11,11,11,11,9,3,3,0,1,1,4,7,31,0,1,1,65,17,0,0,0,5,10,1,10,90,2.5,1
"66",1,"9d.5d7.b8.0",471.15,0,"TA6 3LP",1,4,5,2,4,4,1,0,800,7,50,2,11,11,11,11,11,9,3,3,0,1,1,4,7,31,0,1,1,66,17,0,0,0,10,40,5,50,10,0.5,1
"67",3,"9d.5d7.b8.0",471.15,0,"TA6 3LP",1,4,5,2,4,4,1,0,800,7,50,2,11,11,11,11,11,9,3,3,0,1,1,4,7,31,0,1,1,67,17,0,0,0,50,40,1,5,10,0.5,1
"68",2,"9d.5d7.b8.0",471.15,0,"TA6 3LP",1,4,5,2,4,4,1,0,800,7,50,2,11,11,11,11,11,9,3,3,0,1,1,4,7,31,0,1,1,68,17,0,0,0,10,10,0.5,50,40,1,1
"69",3,"9346.1.34.7",292.499,0,"wa20sr",1,4,4,2,2,3,2,4,0,10,80,NA,9,11,9,11,11,11,3,3,1,1,1,4,10,39,1,1,1,69,18,0,0,0,50,10,1,5,40,5,1
"70",2,"9346.1.34.7",292.499,0,"wa20sr",1,4,4,2,2,3,2,4,0,10,80,NA,9,11,9,11,11,11,3,3,1,1,1,4,10,39,1,1,1,70,18,0,0,0,5,90,2.5,10,10,0.5,1
"71",3,"9346.1.34.7",292.499,0,"wa20sr",1,4,4,2,2,3,2,4,0,10,80,NA,9,11,9,11,11,11,3,3,1,1,1,4,10,39,1,1,1,71,18,0,0,0,50,90,2.5,5,40,1,1
"72",3,"9346.1.34.7",292.499,0,"wa20sr",1,4,4,2,2,3,2,4,0,10,80,NA,9,11,9,11,11,11,3,3,1,1,1,4,10,39,1,1,1,72,18,0,0,0,50,40,2.5,10,90,5,1
"73",1,"9f8b.2b.4.1",563.788,0,"GL50 2DP",2,-3,-2,4,-1,1,2,4,700,8,60,1,8,8,5,8,8,8,3,3,1,0,0,2,7,30,1,1,1,73,19,0,0,0,50,10,1,5,40,5,1
"74",1,"9f8b.2b.4.1",563.788,0,"GL50 2DP",2,-3,-2,4,-1,1,2,4,700,8,60,1,8,8,5,8,8,8,3,3,1,0,0,2,7,30,1,1,1,74,19,0,0,0,5,90,2.5,10,10,0.5,1
"75",3,"9f8b.2b.4.1",563.788,0,"GL50 2DP",2,-3,-2,4,-1,1,2,4,700,8,60,1,8,8,5,8,8,8,3,3,1,0,0,2,7,30,1,1,1,75,19,0,0,0,50,90,2.5,5,40,1,1
"76",1,"9f8b.2b.4.1",563.788,0,"GL50 2DP",2,-3,-2,4,-1,1,2,4,700,8,60,1,8,8,5,8,8,8,3,3,1,0,0,2,7,30,1,1,1,76,19,0,0,0,50,40,2.5,10,90,5,1
"77",2,"93.4c.e94.9",455.457,0,"BH7",1,4,3,2,1,4,2,4,100,6,40,1,9,11,10,10,10,11,3,3,1,0,0,5,10,35,1,1,1,77,20,0,0,0,50,10,1,5,40,5,1
"78",2,"93.4c.e94.9",455.457,0,"BH7",1,4,3,2,1,4,2,4,100,6,40,1,9,11,10,10,10,11,3,3,1,0,0,5,10,35,1,1,1,78,20,0,0,0,5,90,2.5,10,10,0.5,1
"79",3,"93.4c.e94.9",455.457,0,"BH7",1,4,3,2,1,4,2,4,100,6,40,1,9,11,10,10,10,11,3,3,1,0,0,5,10,35,1,1,1,79,20,0,0,0,50,90,2.5,5,40,1,1
"80",3,"93.4c.e94.9",455.457,0,"BH7",1,4,3,2,1,4,2,4,100,6,40,1,9,11,10,10,10,11,3,3,1,0,0,5,10,35,1,1,1,80,20,0,0,0,50,40,2.5,10,90,5,1
"81",2,"9.74c.c82.0",696.213,1,"OL12 0SW",1,3,3,2,3,4,1,0,300,4,20,1,8,10,8,10,9,9,3,3,1,0,0,5,10,24,1,1,1,81,21,0,0,0,5,10,1,10,90,2.5,1
"82",1,"9.74c.c82.0",696.213,1,"OL12 0SW",1,3,3,2,3,4,1,0,300,4,20,1,8,10,8,10,9,9,3,3,1,0,0,5,10,24,1,1,1,82,21,0,0,0,10,40,5,50,10,0.5,1
"83",3,"9.74c.c82.0",696.213,1,"OL12 0SW",1,3,3,2,3,4,1,0,300,4,20,1,8,10,8,10,9,9,3,3,1,0,0,5,10,24,1,1,1,83,21,0,0,0,50,40,1,5,10,0.5,1
"84",3,"9.74c.c82.0",696.213,1,"OL12 0SW",1,3,3,2,3,4,1,0,300,4,20,1,8,10,8,10,9,9,3,3,1,0,0,5,10,24,1,1,1,84,21,0,0,0,10,10,0.5,50,40,1,1
"85",2,"9bb.92.26.d",288.615,1,"KT2 6DW",1,2,2,2,2,3,1,0,600,9,70,1,9,10,9,11,11,11,3,3,1,0,1,5,10,46,1,1,1,85,22,0,0,0,5,10,1,10,90,2.5,1
"86",3,"9bb.92.26.d",288.615,1,"KT2 6DW",1,2,2,2,2,3,1,0,600,9,70,1,9,10,9,11,11,11,3,3,1,0,1,5,10,46,1,1,1,86,22,0,0,0,10,40,5,50,10,0.5,1
"87",2,"9bb.92.26.d",288.615,1,"KT2 6DW",1,2,2,2,2,3,1,0,600,9,70,1,9,10,9,11,11,11,3,3,1,0,1,5,10,46,1,1,1,87,22,0,0,0,50,40,1,5,10,0.5,1
"88",3,"9bb.92.26.d",288.615,1,"KT2 6DW",1,2,2,2,2,3,1,0,600,9,70,1,9,10,9,11,11,11,3,3,1,0,1,5,10,46,1,1,1,88,22,0,0,0,10,10,0.5,50,40,1,1
"89",2,"9358.5.e3.c",206.305,1,"B23 7eh",1,2,2,2,2,1,1,0,500,6,40,2,3,3,2,8,10,10,3,3,0,0,1,4,9,53,0,1,1,89,23,0,0,0,5,10,1,10,90,2.5,1
"90",3,"9358.5.e3.c",206.305,1,"B23 7eh",1,2,2,2,2,1,1,0,500,6,40,2,3,3,2,8,10,10,3,3,0,0,1,4,9,53,0,1,1,90,23,0,0,0,10,40,5,50,10,0.5,1
"91",2,"9358.5.e3.c",206.305,1,"B23 7eh",1,2,2,2,2,1,1,0,500,6,40,2,3,3,2,8,10,10,3,3,0,0,1,4,9,53,0,1,1,91,23,0,0,0,50,40,1,5,10,0.5,1
"92",2,"9358.5.e3.c",206.305,1,"B23 7eh",1,2,2,2,2,1,1,0,500,6,40,2,3,3,2,8,10,10,3,3,0,0,1,4,9,53,0,1,1,92,23,0,0,0,10,10,0.5,50,40,1,1
"93",3,"d.e7c.484.5",381.384,0,"CM1",1,2,3,2,3,2,1,0,800,3,10,1,3,3,4,5,4,4,4,2,1,0,1,5,7,40,1,1,1,93,24,0,0,0,5,10,1,10,90,2.5,1
"94",2,"d.e7c.484.5",381.384,0,"CM1",1,2,3,2,3,2,1,0,800,3,10,1,3,3,4,5,4,4,4,2,1,0,1,5,7,40,1,1,1,94,24,0,0,0,10,40,5,50,10,0.5,1
"95",3,"d.e7c.484.5",381.384,0,"CM1",1,2,3,2,3,2,1,0,800,3,10,1,3,3,4,5,4,4,4,2,1,0,1,5,7,40,1,1,1,95,24,0,0,0,50,40,1,5,10,0.5,1
"96",2,"d.e7c.484.5",381.384,0,"CM1",1,2,3,2,3,2,1,0,800,3,10,1,3,3,4,5,4,4,4,2,1,0,1,5,7,40,1,1,1,96,24,0,0,0,10,10,0.5,50,40,1,1
"97",3,"40a.03.59.0",243.428,1,"po9",1,3,2,2,2,2,1,0,0,10,80,NA,10,10,10,10,10,10,4,4,1,0,1,5,10,52,1,1,1,97,25,0,0,0,5,10,1,10,90,2.5,1
"98",1,"40a.03.59.0",243.428,1,"po9",1,3,2,2,2,2,1,0,0,10,80,NA,10,10,10,10,10,10,4,4,1,0,1,5,10,52,1,1,1,98,25,0,0,0,10,40,5,50,10,0.5,1
"99",3,"40a.03.59.0",243.428,1,"po9",1,3,2,2,2,2,1,0,0,10,80,NA,10,10,10,10,10,10,4,4,1,0,1,5,10,52,1,1,1,99,25,0,0,0,50,40,1,5,10,0.5,1
"100",3,"40a.03.59.0",243.428,1,"po9",1,3,2,2,2,2,1,0,0,10,80,NA,10,10,10,10,10,10,4,4,1,0,1,5,10,52,1,1,1,100,25,0,0,0,10,10,0.5,50,40,1,1
"101",2,"ef.0f27.e.3",371.332,1,"e5 8rn",2,-1,1,2,-1,0,2,4,500,8,60,2,8,5,5,7,8,9,4,3,1,1,1,5,8,50,0,1,1,101,26,0,0,0,50,10,1,5,40,5,1
"102",1,"ef.0f27.e.3",371.332,1,"e5 8rn",2,-1,1,2,-1,0,2,4,500,8,60,2,8,5,5,7,8,9,4,3,1,1,1,5,8,50,0,1,1,102,26,0,0,0,5,90,2.5,10,10,0.5,1
"103",2,"ef.0f27.e.3",371.332,1,"e5 8rn",2,-1,1,2,-1,0,2,4,500,8,60,2,8,5,5,7,8,9,4,3,1,1,1,5,8,50,0,1,1,103,26,0,0,0,50,90,2.5,5,40,1,1
"104",2,"ef.0f27.e.3",371.332,1,"e5 8rn",2,-1,1,2,-1,0,2,4,500,8,60,2,8,5,5,7,8,9,4,3,1,1,1,5,8,50,0,1,1,104,26,0,0,0,50,40,2.5,10,90,5,1
"105",2,"94.985.ab.c",1218.503,1,"gu5 0ul",1,-2,-1,2,4,4,1,0,800,6,40,2,11,11,11,11,11,11,3,3,1,1,1,3,10,18,0,1,1,105,27,0,0,0,5,10,1,10,90,2.5,1
"106",1,"94.985.ab.c",1218.503,1,"gu5 0ul",1,-2,-1,2,4,4,1,0,800,6,40,2,11,11,11,11,11,11,3,3,1,1,1,3,10,18,0,1,1,106,27,0,0,0,10,40,5,50,10,0.5,1
"107",3,"94.985.ab.c",1218.503,1,"gu5 0ul",1,-2,-1,2,4,4,1,0,800,6,40,2,11,11,11,11,11,11,3,3,1,1,1,3,10,18,0,1,1,107,27,0,0,0,50,40,1,5,10,0.5,1
"108",2,"94.985.ab.c",1218.503,1,"gu5 0ul",1,-2,-1,2,4,4,1,0,800,6,40,2,11,11,11,11,11,11,3,3,1,1,1,3,10,18,0,1,1,108,27,0,0,0,10,10,0.5,50,40,1,1
"109",3,"56a.ed.43.0",408.18,1,"M26 2YL",1,-2,0,4,0,0,2,4,500,7,50,1,5,5,4,5,6,4,3,3,1,0,1,5,10,47,1,1,1,109,28,0,0,0,50,10,1,5,40,5,1
"110",3,"56a.ed.43.0",408.18,1,"M26 2YL",1,-2,0,4,0,0,2,4,500,7,50,1,5,5,4,5,6,4,3,3,1,0,1,5,10,47,1,1,1,110,28,0,0,0,5,90,2.5,10,10,0.5,1
"111",3,"56a.ed.43.0",408.18,1,"M26 2YL",1,-2,0,4,0,0,2,4,500,7,50,1,5,5,4,5,6,4,3,3,1,0,1,5,10,47,1,1,1,111,28,0,0,0,50,90,2.5,5,40,1,1
"112",3,"56a.ed.43.0",408.18,1,"M26 2YL",1,-2,0,4,0,0,2,4,500,7,50,1,5,5,4,5,6,4,3,3,1,0,1,5,10,47,1,1,1,112,28,0,0,0,50,40,2.5,10,90,5,1
"113",3,"97.5.c8af.c",445.431,0,"YO10 5JB",1,3,5,2,1,5,2,4,0,9,70,NA,10,11,10,11,11,11,3,3,1,1,1,4,10,45,1,1,1,113,29,0,0,0,50,10,1,5,40,5,1
"114",2,"97.5.c8af.c",445.431,0,"YO10 5JB",1,3,5,2,1,5,2,4,0,9,70,NA,10,11,10,11,11,11,3,3,1,1,1,4,10,45,1,1,1,114,29,0,0,0,5,90,2.5,10,10,0.5,1
"115",2,"97.5.c8af.c",445.431,0,"YO10 5JB",1,3,5,2,1,5,2,4,0,9,70,NA,10,11,10,11,11,11,3,3,1,1,1,4,10,45,1,1,1,115,29,0,0,0,50,90,2.5,5,40,1,1
