"","X","RID","DURATION","Gender","AgeBracket","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","block","design_offset","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","Choice_1","Choice_2","Choice_3","Choice_4","A1X1_1","A1X1_2","A1X1_3","A1X1_4","A1X2_1","A1X2_2","A1X2_3","A1X2_4","A1X3_1","A1X3_2","A1X3_3","A1X3_4","A2X1_1","A2X1_2","A2X1_3","A2X1_4","A2X2_1","A2X2_2","A2X2_3","A2X2_4","A2X3_1","A2X3_2","A2X3_3","A2X3_4","A3X1_1","A3X1_2","A3X1_3","A3X1_4","A3X2_1","A3X2_2","A3X2_3","A3X2_4","A3X3_1","A3X3_2","A3X3_3","A3X3_4","CV","Transform1","WhatWillScienceSay","VarianceUpperBound","VarianceLowerBound","EstimatedVariance","ModelWTP","b_Price.ID","b_Price.post.mean","b_Price.post.sd","b_Performance_10.ID","b_Performance_10.post.mean","b_Performance_10.post.sd","b_Performance_50.ID","b_Performance_50.post.mean","b_Performance_50.post.sd","b_Emissions_40.ID","b_Emissions_40.post.mean","b_Emissions_40.post.sd","b_Emissions_90.ID","b_Emissions_90.post.mean","b_Emissions_90.post.sd","Order"
"11",11,13,356.621,0,1,1,4,4,2,2,2,400,4,20,1,NA,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00892863074430132,4,3,5,0.0625,133.98362110584,11,-0.078025164721961,0.142717729746256,11,1.38788052721177,0.589599017820775,11,0.5266838992915,0.0211502682067335,11,-0.797174899249755,0.396685147334756,11,-1.88702050388014,0.196935463635995,0
"12",12,20,327.376,0,1,1,2,1,2,0,3,400,4,20,2,NA,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.0161293819298836,1,0,2,0.0625,86.056479879161,12,-2.63262626476979,1.77787247123987,12,1.35673588334524,0.618693060012536,12,0.525013149003426,0.0222943950205128,12,-0.927060598522602,0.379118974659603,12,-1.88541358993607,0.172343147287077,0
"13",13,61,244.601,0,1,1,2,1,3,1,4,300,1,1,1,NA,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.000800320170769155,1,-2,4,0.5625,86.406297789855,13,-9.99797154989057,15.1998325060924,13,1.52332311826676,0.499113856442607,13,0.523932693308405,0.0232153762005141,13,-1.26156846324517,0.38358849223313,13,-1.81345219778073,0.212899947791459,0
"14",14,47,287.598,0,1,1,-2,1,1,1,1,700,3,10,2,NA,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.00445435034938031,1,1,1,0,88.6562929261127,14,-0.951995846120508,0.782962578144293,14,1.35608138003156,0.597512726992605,14,0.524638055113035,0.0223515232986494,14,-0.780509727623378,0.393407600593466,14,-1.83624612407649,0.202240873248684,0
"15",15,37,302.42,1,2,1,3,3,2,4,4,300,5,30,1,NA,1,0,10,6,10,6,11,11,11,4,3,1,0,1,5,2750,10,37,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0109690313705739,3,2,4,0.0625,117.360661608271,15,-0.0705898037979757,0.121429882470885,15,1.44269678903271,0.624405448427504,15,0.526112032093374,0.0219246434258,15,-0.775016391549802,0.443215212120479,15,-1.89132138532791,0.200752081641955,0
"16",16,49,293.828,0,1,1,-3,-1,2,-1,0,0,8,60,NA,2,1,0,4,2,1,1,3,3,4,3,3,1,0,0,5,2500,10,49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0242926925690446,-1,-2,0,0.0625,58.3958654860973,16,-79.7951055156177,209.543072229777,16,1.38248288502875,0.622655950510162,16,0.522212350923581,0.02014563713822,16,-0.718022522323298,0.334711274187489,16,-1.86977841129638,0.190084479481705,0
"17",17,21,358.892,0,1,1,1,1,4,1,2,600,9,70,2,NA,1,0,9,7,8,6,9,9,10,4,3,0,0,1,4,5000,7,21,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0140989243795016,1,-4,6,1.5625,78.7425671518067,17,-1.15932719346788,1.10504381371331,17,1.36588050612322,0.574610075668289,17,0.52784256657788,0.0223172052640494,17,-0.814059466562134,0.407008436314113,17,-1.8455569621007,0.205421512827549,0
"18",18,40,324.522,1,2,4,1,0,1,0,-1,400,7,50,1,NA,2,4,7,7,7,7,8,8,8,4,3,1,1,0,5,2250,7,40,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0224728558520586,0,0,0,0,71.4937782665917,18,-4.26968958895242,2.38507880224572,18,1.39790402689403,0.519397966600013,18,0.526880359223723,0.0252650459579919,18,-0.637313954781762,0.356288979760869,18,-1.99598836298067,0.203579029932533,0
"19",19,10,484.501,1,1,3,-4,2,2,2,2,800,3,10,2,NA,2,4,7,2,2,1,7,7,7,4,3,0,1,1,5,1250,10,10,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.00803217169726427,2,1,3,0.0625,102.421333515707,19,-2.62393966723429,1.57316476257829,19,1.42987918682659,0.546418286825671,19,0.527894207628129,0.0236866444469711,19,-0.938942748095149,0.355681447289409,19,-1.85350094160819,0.183099455250959,0
"20",20,46,351.475,0,1,1,2,2,3,2,2,200,9,70,2,NA,1,0,8,7,8,8,8,8,9,2,3,0,0,0,5,750,5,46,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0979804083602038,2,-1,5,0.5625,81.901790156699,20,-4.34406895885789,3.87989852017001,20,1.65234053838478,0.472136740731515,20,0.528591874547346,0.0241325222567933,20,-0.608106041673147,0.373359906281818,20,-1.96154025461608,0.183495466673509,0
"21",21,59,318.927,1,3,1,3,2,3,3,5,300,8,60,1,NA,1,0,9,8,10,8,11,11,11,4,4,1,1,1,5,2250,10,59,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0270286723879193,2,-1,5,0.5625,95.7847749258224,21,-0.22615877424434,0.369403940297911,21,1.4027392795831,0.57380294947875,21,0.526235809724535,0.0218119325389625,21,-0.821205924171941,0.435388207648971,21,-1.87904208236636,0.193626799263125,0
"22",22,77,170.202,0,1,3,5,3,2,5,5,300,2,5,1,NA,2,4,11,9,11,11,11,11,11,5,3,0,1,1,4,2250,10,77,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00222469502211116,3,2,4,0.0625,119.25040260924,22,-0.0639240110544562,0.106000466596501,22,1.41823926276819,0.579763400085709,22,0.525227654478321,0.021569006931558,22,-0.824101997485146,0.394131671689043,22,-1.89065571481547,0.198643438097445,0
"23",23,48,353.361,0,1,1,3,2,2,-3,5,500,7,50,1,NA,2,4,11,7,11,6,9,10,11,4,3,0,0,0,4,2250,10,48,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0224728558520586,2,1,3,0.0625,99.4545239888959,23,-0.0626541662555384,0.105378732668752,23,1.43450565566522,0.533076812132289,23,0.525390492159838,0.0208995509790563,23,-0.789605407516598,0.403122596514459,23,-1.87121601351795,0.191935161963427,0
"24",24,35,372.395,0,1,1,3,-4,2,-1,-1,400,1,1,1,NA,1,0,11,8,9,11,11,11,11,5,3,1,0,1,5,250,10,35,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.00400802139753882,-4,-5,-3,0.0625,31.0888481273791,24,-0.0739234860968148,0.131315244831408,24,1.393747807619,0.570727120267663,24,0.528178955585193,0.0203915156599386,24,-0.839155477309654,0.401013425220336,24,-1.88501094909768,0.202423537243195,0
"25",25,68,283.621,1,1,1,3,2,2,1,5,700,7,50,1,NA,1,0,10,7,10,7,10,11,11,3,3,1,1,0,5,2500,10,68,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0202027073175195,2,1,3,0.0625,99.9188861379326,25,-0.0653964953573224,0.11177494444067,25,1.38558443382714,0.59987758836878,25,0.526813850691544,0.0230289857902682,25,-0.794004743771065,0.416066670192035,25,-1.8813108876356,0.192063953524456,0
"26",26,50,365.414,0,1,1,2,1,3,1,2,300,2,5,1,NA,2,4,11,7,11,8,8,9,9,3,3,1,1,0,5,1750,9,50,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00286123228103223,1,-2,4,0.5625,86.0075498974966,26,-0.0543021348961901,0.0996257210258778,26,1.40491521526699,0.57531480487815,26,0.526550181319874,0.0214619083837754,26,-0.826154198275137,0.391247330964611,26,-1.87813430135845,0.190720407548112,0
"27",27,28,412.273,0,1,1,2,0,1,0,0,300,2,5,2,NA,1,0,6,4,4,4,4,4,4,3,3,0,0,0,4,2250,10,28,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.00222469502211116,0,0,0,0,75.1432928640133,27,-8.04086947632131,5.64552226349964,27,0.605040786219901,0.545206019549509,27,0.524212687900988,0.0192660553383597,27,-0.9563084810078,0.275923133215385,27,-1.97161470514577,0.208214999496732,0
"28",28,41,390.242,1,2,1,2,3,2,1,1,600,3,10,1,NA,1,0,9,7,8,7,9,10,10,3,3,1,0,1,4,2250,10,41,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.00445435034938031,3,2,4,0.0625,118.767734177353,28,-4.1014478986589,3.40761893488899,28,1.10273493133493,0.481571875183157,28,0.525114482322312,0.019096183978336,28,-1.29868010660939,0.425040276613896,28,-1.87262424745091,0.192226515415278,0
"29",29,31,407.525,0,1,1,4,4,2,1,5,0,4,20,NA,1,2,4,11,10,10,10,9,10,11,5,3,0,0,1,5,1750,10,31,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0114943794257351,4,3,5,0.0625,133.411254633216,29,-0.0583675731855015,0.10054725077117,29,1.40918556648819,0.584064103676094,29,0.52650638228175,0.0215013811346954,29,-0.775096356526132,0.410116158773757,29,-1.86891681983652,0.185864426752947,0
"30",30,36,397.279,0,1,1,4,3,2,4,4,400,4,20,1,NA,1,0,10,8,10,9,10,10,10,4,3,1,1,1,5,4500,10,36,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.00445435034938031,3,2,4,0.0625,118.767734177353,30,-0.557185163374634,0.651586826554181,30,1.43835271023053,0.554808562172175,30,0.525621994087627,0.0209294032598847,30,-0.703261355791441,0.407110225788792,30,-1.90865350618718,0.203586399010768,0
"31",31,27,427.223,0,1,1,4,2,3,0,5,100,5,30,1,NA,2,4,11,10,9,9,9,10,11,3,3,0,0,1,5,250,10,27,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.127833371509885,2,-1,5,0.5625,76.3335166567646,31,-0.0606278769788372,0.104600739761667,31,1.4264595375437,0.54899767984913,31,0.526188863092471,0.021661337949697,31,-0.81341219040466,0.426200414494648,31,-1.89164141266153,0.201421922193171,0
"32",32,23,445.154,0,1,1,-1,0,1,0,3,100,9,70,2,NA,1,0,7,2,6,4,6,6,7,3,3,0,0,1,3,750,10,23,1,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0979804083602038,0,0,0,0,58.6642349574448,32,-0.294581523676417,0.489182013203447,32,1.39207915705859,0.580335879826032,32,0.525799446719333,0.0219859551624797,32,-0.754809864911229,0.414476671959793,32,-1.8800187773882,0.188176904717572,0
"33",33,80,190.563,1,2,1,2,2,2,2,4,400,8,60,1,NA,2,4,10,8,9,7,11,11,11,4,3,1,0,1,5,3500,10,80,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.017291497110061,2,1,3,0.0625,100.515499412193,33,-0.0762362336336316,0.127984277784484,33,1.42040232095019,0.533459747602614,33,0.526070025753099,0.0235227043458393,33,-0.810553077758906,0.414023716177159,33,-1.88678707153934,0.195259839361174,0
"34",34,62,361.783,0,1,1,4,2,3,2,5,0,8,60,NA,1,2,4,11,8,11,8,9,10,11,3,3,0,0,1,4,250,5,62,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.27443684570176,2,-1,5,0.5625,51.7432710530753,34,-0.0631115323116917,0.102964292863588,34,1.41190135606798,0.551283420701317,34,0.526144242821467,0.0229926882957951,34,-0.792612103946662,0.415943196235939,34,-1.88163596368191,0.188099371744475,0
"35",35,32,433.707,0,1,1,2,4,2,3,3,0,5,30,NA,1,1,0,11,9,9,7,9,10,10,3,3,1,1,1,5,1750,10,32,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.017291497110061,4,3,5,0.0625,132.120157601895,35,-0.691091371891736,0.742849560793588,35,1.46750795732225,0.548649163383189,35,0.529094950222353,0.022070902928155,35,-0.798330843626072,0.403058553911415,35,-1.89516686025556,0.194982762650285,0
"36",36,9,594.925,1,1,5,3,2,3,1,1,0,2,5,NA,2,1,0,7,6,5,5,7,7,7,4,3,0,0,1,5,2500,7,9,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.00200200267067308,2,-1,5,0.5625,100.878487600685,36,-0.160913727616214,0.273169709944746,36,1.4562286642399,0.559182796323765,36,0.52564580979439,0.0217095219780752,36,-0.754967966849667,0.39780971416741,36,-1.8804402307502,0.197025667445058,0
"37",37,75,277.136,2,2,1,3,2,2,0,0,200,10,80,1,NA,2,4,10,10,9,9,10,10,10,4,3,0,0,0,5,1750,9,75,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0467921615067589,2,1,3,0.0625,94.5293830447195,37,-0.0603875742038762,0.103582777077047,37,1.43954119882101,0.573529004310125,37,0.526683078381972,0.0226287637998075,37,-0.774433100008653,0.376632072882486,37,-1.8844038913876,0.198402780283024,0
"38",38,24,463.282,0,5,1,5,5,1,5,5,1000,6,40,1,NA,2,4,11,11,11,9,11,11,11,3,3,0,1,1,4,3500,10,24,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0114943794257351,5,5,5,0,150.436261347865,38,-0.0592476507530792,0.099791767386441,38,1.41917215674679,0.577360822849571,38,0.525054869883776,0.022368495715828,38,-0.757961942439236,0.397510419712618,38,-1.87008912046684,0.187401491084353,0
"39",39,43,434.278,0,1,1,4,3,2,3,4,500,6,40,1,NA,1,0,11,4,10,7,11,11,11,4,4,0,0,1,5,4500,10,43,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.00892863074430132,3,2,4,0.0625,117.800839786753,39,-0.076573307862301,0.132359325406369,39,1.41908508811726,0.557023324308253,39,0.525445484732301,0.0217187397701321,39,-0.837807441424422,0.421414222609411,39,-1.87978616813523,0.200441399034278,0
"40",40,65,357.954,1,1,1,3,3,2,2,0,400,5,30,1,NA,2,4,11,7,9,8,9,10,11,3,3,1,1,1,5,1750,10,65,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.017291497110061,3,2,4,0.0625,115.999750105942,40,-0.0555864619694447,0.0927912501900714,40,1.39777818738393,0.568583223770926,40,0.526059451507016,0.021069323177424,40,-0.792967550004396,0.402740423275178,40,-1.87813619409157,0.20082571277292,0
"41",41,69,322.902,0,1,1,3,2,2,-1,5,400,3,10,1,NA,1,0,11,10,10,9,11,11,11,3,4,1,1,1,5,750,8,69,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0134230203321407,2,1,3,0.0625,101.310223975898,41,-0.604844953626707,0.697948546133383,41,1.44408047388047,0.576333178349506,41,0.527239660578754,0.0222628313329017,41,-0.77846604957954,0.396497069576346,41,-1.88959802363942,0.186761075078092,0
"42",42,55,419.907,0,1,1,4,4,2,4,4,500,2,5,1,NA,1,0,11,8,8,10,10,10,11,3,3,1,0,1,4,250,10,55,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0202027073175195,4,3,5,0.0625,131.472917963153,42,-0.370359607247217,0.494975317946361,42,1.481758204985,0.547888493342207,42,0.528531564991176,0.0223124271530511,42,-0.745204703956204,0.399230929826082,42,-1.89404656263276,0.190745156550802,0
"43",43,67,403.347,1,5,1,4,5,1,5,5,500,9,70,1,NA,1,0,11,8,10,8,11,11,11,3,3,0,1,1,5,3500,10,67,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0202027073175195,5,5,5,0,148.447927441079,43,-0.0663742431433099,0.118826329845264,43,1.42922328765321,0.57048596311813,43,0.526516402244721,0.0215396975692423,43,-0.806081145056651,0.416631125077156,43,-1.88730873577487,0.199733724088512,0
