"","RID","DURATION","Gender","AgeBracket","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","Choice_1","Choice_2","Choice_3","Choice_4","A1X1_1","A1X1_2","A1X1_3","A1X1_4","A1X2_1","A1X2_2","A1X2_3","A1X2_4","A1X3_1","A1X3_2","A1X3_3","A1X3_4","A2X1_1","A2X1_2","A2X1_3","A2X1_4","A2X2_1","A2X2_2","A2X2_3","A2X2_4","A2X3_1","A2X3_2","A2X3_3","A2X3_4","A3X1_1","A3X1_2","A3X1_3","A3X1_4","A3X2_1","A3X2_2","A3X2_3","A3X2_4","A3X3_1","A3X3_2","A3X3_3","A3X3_4","CV","Order","Transform1","WhatWillScienceSay","VarianceUpperBound","VarianceLowerBound","EstimatedVariance","ModelWTP","b_Price.ID","b_Price.post.mean","b_Price.post.sd","b_Performance_10.ID","b_Performance_10.post.mean","b_Performance_10.post.sd","b_Performance_50.ID","b_Performance_50.post.mean","b_Performance_50.post.sd","b_Emissions_40.ID","b_Emissions_40.post.mean","b_Emissions_40.post.sd","b_Emissions_90.ID","b_Emissions_90.post.mean","b_Emissions_90.post.sd"
"11",27,367.066,1,1,1,2,1,3,-3,3,2,4,0,4,20,NA,1,10,8,10,8,8,8,8,4,3,0,0,1,5,1750,10,27,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0114943794257351,1,3,3,0.5625,95.9690656409383,11,-0.0524972467665451,0.0930297480916216,11,1.29669258047959,0.168211711656768,11,0.40968058141377,0.362305265935535,11,-0.582603947125274,0.633941723577043,11,-1.80429885234761,0.419003559296818
"12",28,352.058,1,2,1,1,3,2,3,4,1,0,100,3,10,1,NA,9,7,8,6,9,10,10,4,3,0,0,1,5,3500,9,28,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00286123228103223,3,1,1,0.0625,114.231011433037,12,-0.552889222243532,0.623312900159944,12,1.2948221486244,0.170308741823771,12,0.394892202376708,0.377601125394975,12,-0.425120032648434,0.629075010206204,12,-1.85184025659633,0.402299414734976
"13",34,254.344,0,1,1,-2,1,2,0,1,1,0,0,3,10,NA,1,10,5,6,4,6,6,6,4,3,0,0,1,5,4500,9,34,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00222469502211116,1,1,1,0.0625,97.0344153746263,13,-1.60987705111768,1.00475609119821,13,1.3305639656532,0.143680040581592,13,0.372692673004071,0.363845369924033,13,-0.0884625985593303,0.667883125665372,13,-1.69692589945003,0.412119849799246
"14",33,315.472,0,2,1,1,2,1,3,1,2,4,600,2,5,1,NA,11,9,7,7,8,9,10,3,3,1,1,1,4,2750,10,33,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00181983671698598,2,0,0,0,105.582726351656,14,-0.0531749455269318,0.0920246527117412,14,1.30134865563752,0.166693296790003,14,0.4092594469725,0.364600877058335,14,-0.555262265891058,0.650043294807956,14,-1.84366712116769,0.406064677100378
"15",29,450.484,1,2,1,4,3,1,3,3,1,0,300,4,20,2,NA,11,10,11,9,10,10,11,5,5,0,1,1,3,1250,10,29,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0161293819298836,3,0,0,0,111.583876147789,15,-0.9719081040602,0.816820396646911,15,1.29547484331321,0.169616185613046,15,0.337805589813461,0.376963040378645,15,-0.260227094246298,0.64581763279773,15,-1.7459389726205,0.441138621821038
"16",42,190.696,1,1,1,5,3,2,3,3,1,0,400,1,1,1,NA,11,11,11,11,11,11,11,3,3,1,0,1,5,3500,10,42,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.000285755109817069,3,1,1,0.0625,114.730346782101,16,-0.0612000941468801,0.107304205807407,16,1.31545492471976,0.157547844604132,16,0.423238622871974,0.367554304352584,16,-0.584633077891695,0.643681664278841,16,-1.78863782228713,0.423548193035976
"17",31,471.15,0,3,1,4,5,2,4,4,1,0,800,7,50,2,NA,11,11,11,11,11,11,9,3,3,0,1,1,4,1750,7,31,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0289875368732523,5,1,1,0.0625,127.056996697565,17,-0.448277081068263,0.560070329001286,17,1.303592529104,0.163551727707483,17,0.407571895356652,0.381811438620209,17,-0.416386114420505,0.632863611597835,17,-1.77603968503442,0.415676395275365
"18",39,292.499,0,1,1,4,4,2,2,3,2,4,0,10,80,NA,1,11,9,11,9,11,11,11,3,3,1,1,1,4,4500,10,39,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0179377006866673,4,1,1,0.0625,120.207618778817,18,-0.0571434659371763,0.0985419908881405,18,1.30610591612664,0.158140010505214,18,0.416048228948317,0.385048915479476,18,-0.598054274625055,0.664349943460829,18,-1.81118790334392,0.40452387762437
"19",30,563.788,0,4,2,-3,-2,4,-1,1,2,4,700,8,60,1,NA,10,8,8,5,8,8,8,3,3,1,0,0,2,3500,7,30,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.017291497110061,-2,5,5,1.5625,72.2069951931943,19,-13.240227036137,12.080489674381,19,1.31977548902939,0.142590105638428,19,0.135689093102972,0.369813631588208,19,-1.05078400275138,0.480808143974794,19,-1.64941554264414,0.343181337091688
"20",35,455.457,0,1,1,4,3,2,1,4,2,4,100,6,40,1,NA,11,9,11,10,10,10,11,3,3,1,0,0,5,1250,10,35,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0325231917055601,3,1,1,0.0625,108.522954344024,20,-0.12135986619576,0.207804075507572,20,1.31337836537849,0.162408593131659,20,0.42455367332834,0.374728521751962,20,-0.561529212271565,0.6533418417107,20,-1.80589001916101,0.421585684182908
"21",24,696.213,1,2,1,3,3,2,3,4,1,0,300,4,20,1,NA,9,8,10,8,10,9,9,3,3,1,0,0,5,1750,10,24,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0114943794257351,3,1,1,0.0625,112.561438010085,21,-0.439247206049822,0.560474938123472,21,1.30931297410449,0.164715292177614,21,0.409392206197589,0.373657700815223,21,-0.573070432797931,0.668056641274248,21,-1.77762622111599,0.403424271516413
"22",46,288.615,1,3,1,2,2,2,2,3,1,0,600,9,70,1,NA,10,9,10,9,11,11,11,3,3,1,0,1,5,5000,10,46,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0140989243795016,2,1,1,0.0625,103.34521557349,22,-0.197911338517336,0.318064319349431,22,1.29795389174332,0.162853283531792,22,0.430755782331211,0.362010469414129,22,-0.578853519741005,0.636779602222807,22,-1.78712910372652,0.432409024637827
"23",53,206.305,1,1,1,2,2,2,2,1,1,0,500,6,40,2,NA,5,3,3,2,8,10,10,3,3,0,0,1,4,3500,9,53,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0114943794257351,2,1,1,0.0625,103.836039684861,23,-0.169524521124403,0.264698079943902,23,1.30871384053226,0.154110744807791,23,0.432690893502473,0.356306598875718,23,-0.548840845371181,0.633209450162016,23,-1.81503443687391,0.403776803269806
"24",40,381.384,0,2,1,2,3,2,3,2,1,0,800,3,10,1,NA,3,3,3,4,5,4,4,4,2,1,0,1,5,3500,7,40,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00286123228103223,3,1,1,0.0625,114.231011433037,24,-0.0601780236932633,0.105280222705876,24,1.2981326913833,0.161979805360136,24,0.389577992074519,0.349307866965288,24,-0.497432903053483,0.640812965772726,24,-1.81506165322763,0.428457358327907
"25",52,243.428,1,1,1,3,2,2,2,2,1,0,0,10,80,NA,1,10,10,10,10,10,10,10,4,4,1,0,1,5,250,10,52,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.385662480811985,2,1,1,0.0625,43.5040568486618,25,-0.575657547720859,0.668570453634535,25,1.2976824055951,0.165645112591941,25,0.384763029852232,0.383683981470152,25,-0.546547358178482,0.605266744752283,25,-1.84229800837697,0.410969842954064
"26",50,371.332,1,1,2,-1,1,2,-1,0,2,4,500,8,60,2,NA,9,8,5,5,7,8,9,4,3,1,1,1,5,4500,8,50,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0134230203321407,1,1,1,0.0625,94.9750183646823,26,-0.239944766116988,0.363978055431685,26,1.30419995547254,0.16433166628581,26,0.3980468101236,0.368924312853789,26,-0.510905621343917,0.604999086451677,26,-1.8163242279905,0.411036719166647
"27",18,1218.503,1,3,1,-2,-1,2,4,4,1,0,800,6,40,2,NA,11,11,11,11,11,11,11,3,3,1,1,1,3,250,10,18,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.174353387144778,-1,1,1,0.0625,53.4830424632202,27,-0.478183362446222,0.566859351846351,27,1.30845792411527,0.166433069285212,27,0.399263693837263,0.364180077973502,27,-0.375409941992664,0.63193423679161,27,-1.74534445967791,0.404139858597322
"28",47,408.18,1,2,1,-2,0,4,0,0,2,4,500,7,50,1,NA,6,5,5,4,5,6,4,3,3,1,0,1,5,3500,10,47,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0143887374520996,0,5,5,1.5625,88.4194149437119,28,-0.058486265902231,0.0992100156173995,28,1.31017959768355,0.165868496537438,28,0.424152779684414,0.38714151516336,28,-0.563330967519594,0.63673435100031,28,-1.80630995362715,0.423990235268758
"29",45,445.431,0,1,1,3,5,2,1,5,2,4,0,9,70,NA,1,11,10,11,10,11,11,11,3,3,1,1,1,4,2500,10,45,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.028399474521698,5,1,1,0.0625,127.173915505831,29,-0.0524024109862548,0.0907028660254301,29,1.30171826595176,0.166067369567554,29,0.415535727743195,0.367284678855336,29,-0.578038989070065,0.656535315776011,29,-1.85822419922572,0.393659937481615
"30",62,250.987,1,1,1,5,5,2,5,5,1,0,400,7,50,1,NA,11,11,11,11,11,11,11,3,3,1,0,0,4,1750,9,62,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0289875368732523,5,1,1,0.0625,127.056996697565,30,-0.16569666105249,0.268774367507711,30,1.30938633515214,0.162814106154614,30,0.43741479679139,0.367211846989881,30,-0.575843196687765,0.666218440082395,30,-1.78295327814753,0.423581500191209
"31",54,341.159,0,2,1,3,2,2,-1,1,1,0,100,1,1,1,NA,10,6,10,5,10,9,10,5,3,1,0,1,2,750,10,54,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00133422301313661,2,1,1,0.0625,105.757416928799,31,-0.51792187606127,0.589555681871241,31,1.30961004515285,0.155138601869849,31,0.407216258457031,0.389200023934894,31,-0.593069568280634,0.684872071744999,31,-1.83818097210206,0.414963761414373
"32",71,197.356,1,1,1,4,4,3,4,4,2,4,200,8,60,2,NA,9,6,9,6,10,11,11,3,3,1,0,1,3,2750,10,71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0220597180647322,4,3,3,0.5625,120.082942007063,32,-51.1191985339041,86.0758872034687,32,1.31176126552812,0.169345479840448,32,0.524989974224431,0.411650704889253,32,-0.27294899155741,0.631223671612665,32,-1.57683459892349,0.368737617750704
"33",41,517.343,1,3,5,-1,1,4,1,5,2,4,300,9,70,2,NA,10,8,9,7,9,9,9,4,4,0,0,1,3,250,8,41,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.328504066972036,1,5,5,1.5625,46.3318246238233,33,-39.9768599379471,88.0287267884312,33,1.28500142008598,0.16985530334516,33,0.193392803987145,0.414213804092163,33,-1.27149215598373,0.483546745469157,33,-1.65830361319753,0.335579131780997
"34",56,338.944,1,1,1,3,3,2,2,2,2,4,300,8,60,1,NA,9,9,9,7,9,9,10,4,3,0,1,1,4,5000,10,56,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0120725812342692,3,1,1,0.0625,112.4498548805,34,-0.0568786315607296,0.0942596822021501,34,1.30222438110368,0.156873756748477,34,0.423035926004452,0.393437543403146,34,-0.550850898343568,0.663475408329389,34,-1.83307020798777,0.398159356563247
"35",59,316.449,0,2,1,3,4,2,3,5,1,0,200,9,70,1,NA,11,10,11,10,11,11,11,5,3,1,1,0,4,1750,9,59,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0408219945202552,4,1,1,0.0625,115.73667120036,35,-0.0700548092828723,0.127045645676664,35,1.3057306280926,0.16204538979561,35,0.426063541631877,0.367592055356713,35,-0.615181554485103,0.664552508597584,35,-1.8009161060983,0.425278436973925
"36",83,175.654,1,2,1,4,3,2,2,3,2,4,400,9,70,2,NA,6,6,6,6,6,6,6,3,3,0,0,1,1,2500,10,83,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.028399474521698,3,1,1,0.0625,109.311637698349,36,-0.399374743686939,0.562961786981195,36,1.32608525373729,0.162973096248527,36,0.391518266272427,0.369841816052836,36,-0.738145368117306,0.674189379386365,36,-1.72939439117168,0.427751540974092
"37",43,562.009,0,2,1,4,4,2,3,3,2,4,400,2,5,1,NA,9,9,8,7,8,9,6,4,4,0,1,1,4,3500,10,43,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00142959280959443,4,1,1,0.0625,123.458253264828,37,-0.129771148654892,0.218804573023178,37,1.30953888306872,0.161108992029488,37,0.411576768349812,0.389937188149723,37,-0.528760792242013,0.604168022717471,37,-1.84655323773391,0.423154703613018
"38",69,258.102,1,2,2,3,4,2,4,4,2,4,400,6,40,1,NA,10,9,9,9,10,10,10,4,3,1,1,1,5,5000,8,69,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00803217169726427,4,1,1,0.0625,122.155678623071,38,-0.055618781587274,0.0950467351802077,38,1.30470029850145,0.163470454104478,38,0.44103922441839,0.381511627972785,38,-0.624189893584458,0.637186956552926,38,-1.84173867736006,0.396200117866543
"39",76,261.065,0,1,1,1,1,4,0,0,1,0,0,10,80,NA,1,7,6,7,6,7,7,7,3,3,1,0,1,4,2500,7,76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0325231917055601,1,5,5,1.5625,93.396416580662,39,-53.2674674808998,105.604917458327,39,1.29652452682614,0.156412367096558,39,0.457988619699914,0.366082064634923,39,-0.352157157414205,0.525410461632163,39,-1.71060927852191,0.422593456687625
"40",85,199.582,1,3,1,3,1,2,2,2,2,4,400,2,5,1,NA,11,11,11,10,10,11,11,3,3,1,0,1,5,2250,10,85,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00222469502211116,1,1,1,0.0625,97.0344153746263,40,-0.118278685021271,0.192172412357732,40,1.29925918818643,0.163306570537237,40,0.420815694941145,0.366130244816575,40,-0.521676018512193,0.645621160390586,40,-1.84713756693934,0.425074998383314
"41",37,668.889,1,2,1,3,3,2,0,0,2,4,0,7,50,NA,1,11,9,11,9,11,11,11,3,3,0,0,1,3,750,9,37,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0689928714869514,3,1,1,0.0625,101.621697573962,41,-0.0562837093677006,0.0940619794901108,41,1.30854023056173,0.16731052815743,41,0.411208297387893,0.383839199214775,41,-0.550197852901684,0.671056448037743,41,-1.83452674030649,0.394579361617612
"42",67,320.081,1,2,1,3,4,3,3,3,1,0,300,3,10,1,NA,10,7,10,6,10,10,10,4,3,1,1,1,5,5000,10,67,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00200200267067308,4,3,3,0.5625,124.034217059445,42,-0.526946583505305,0.607369127225062,42,1.31919095323973,0.165151693020359,42,0.362610018283272,0.378725657999889,42,-0.378541432609209,0.648449103187346,42,-1.81649673062743,0.415780134913301
"43",38,670.634,0,1,5,2,0,3,-1,3,2,4,0,4,20,NA,1,10,8,9,6,7,7,7,3,3,0,1,0,5,3500,10,38,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00573067470898498,0,3,3,0.5625,88.7205396885567,43,-15.1314692115098,21.630377404595,43,1.31887846684101,0.131657450781835,43,0.56598083269437,0.312732716101067,43,-0.385971124195172,0.495306081731775,43,-2.24008948381325,0.394983982508932
"44",75,313.881,1,1,1,5,5,2,5,5,2,4,200,3,10,1,NA,11,11,11,10,11,11,11,5,5,1,0,1,5,3500,10,75,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00286123228103223,5,1,1,0.0625,132.273243384283,44,-0.0586905026800738,0.0972305554217724,44,1.31290702598249,0.15718141779973,44,0.413237357276602,0.384961087094772,44,-0.531234274458725,0.663725104806949,44,-1.80962362410476,0.409430194279553
