"","X","RID","VERSION","IP","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","CVProtests","CVProtestTexts","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","ConsequentialityText","Education","Income","Understanding","FreeText","RID.1","Choice_1","Choice_2","Choice_3","Choice_4","A1X1_1","A1X1_2","A1X1_3","A1X1_4","A1X2_1","A1X2_2","A1X2_3","A1X2_4","A1X3_1","A1X3_2","A1X3_3","A1X3_4","A2X1_1","A2X1_2","A2X1_3","A2X1_4","A2X2_1","A2X2_2","A2X2_3","A2X2_4","A2X3_1","A2X3_2","A2X3_3","A2X3_4","A3X1_1","A3X1_2","A3X1_3","A3X1_4","A3X2_1","A3X2_2","A3X2_3","A3X2_4","A3X3_1","A3X3_2","A3X3_3","A3X3_4","CV","Order","Transform1","WhatWillScienceSay","VarianceUpperBound","VarianceLowerBound","EstimatedVariance","ModelWTP"
"16",22,42,7,"c35.77.0e.2",190.696,1,1,"N6 4RH",1,5,3,2,3,3,1,0,400,1,1,1,NA,NA,NA,11,11,11,11,11,11,11,3,3,1,0,1,NA,5,3500,10,"None.",42,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.000285755109817069,3,1,1,0.0625,114.730346782101
"17",23,31,7,"9d.5d7.b8.0",471.15,0,3,"TA6 3LP",1,4,5,2,4,4,1,0,800,7,50,2,NA,2,NA,11,11,11,11,11,11,9,3,3,0,1,1,NA,4,1750,7,"A little confusing, abit too much.science",31,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0289875368732523,5,1,1,0.0625,127.056996697565
"18",24,39,7,"9346.1.34.7",292.499,0,1,"wa20sr",1,4,4,2,2,3,2,4,0,10,80,NA,1,NA,NA,11,9,11,9,11,11,11,3,3,1,1,1,NA,4,4500,10,"n/a",39,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0179377006866673,4,1,1,0.0625,120.207618778817
"19",25,30,7,"9f8b.2b.4.1",563.788,0,4,"GL50 2DP",2,-3,-2,4,-1,1,2,4,700,8,60,1,NA,NA,NA,10,8,8,5,8,8,8,3,3,1,0,0,"I do not think so",2,3500,7,"It was clear to me, although some questions on first glance appeared to be the same.",30,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.017291497110061,-2,5,5,1.5625,72.2069951931943
"20",26,35,7,"93.4c.e94.9",455.457,0,1,"BH7",1,4,3,2,1,4,2,4,100,6,40,1,NA,NA,NA,11,9,11,10,10,10,11,3,3,1,0,0,"I doubt they would be empowered to affect real change on private companies.",5,1250,10,"Nice UI",35,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0325231917055601,3,1,1,0.0625,108.522954344024
"21",27,24,7,"9.74c.c82.0",696.213,1,2,"OL12 0SW",1,3,3,2,3,4,1,0,300,4,20,1,NA,NA,NA,9,8,10,8,10,9,9,3,3,1,0,0,"No, we have a government that refuses to listen to people and big corporations that are only interested in changing things if it benefits their business. I'm not entirely convinced that regulators are independent and free to listen to scientific advice and surveys.",5,1750,10,"No improvement required",24,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0114943794257351,3,1,1,0.0625,112.561438010085
"22",28,46,7,"9bb.92.26.d",288.615,1,3,"KT2 6DW",1,2,2,2,2,3,1,0,600,9,70,1,NA,NA,NA,10,9,10,9,11,11,11,3,3,1,0,1,NA,5,5000,10,"Great survey",46,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0140989243795016,2,1,1,0.0625,103.34521557349
"23",29,53,7,"9358.5.e3.c",206.305,1,1,"B23 7eh",1,2,2,2,2,1,1,0,500,6,40,2,NA,2,NA,5,3,3,2,8,10,10,3,3,0,0,1,NA,4,3500,9,"None",53,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0114943794257351,2,1,1,0.0625,103.836039684861
"24",30,40,7,"d.e7c.484.5",381.384,0,2,"CM1",1,2,3,2,3,2,1,0,800,3,10,1,NA,NA,NA,3,3,3,4,5,4,4,4,2,1,0,1,NA,5,3500,7,"Some questions could have been worded a little clearer",40,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00286123228103223,3,1,1,0.0625,114.231011433037
"25",31,52,7,"40a.03.59.0",243.428,1,1,"po9",1,3,2,2,2,2,1,0,0,10,80,NA,1,NA,NA,10,10,10,10,10,10,10,4,4,1,0,1,NA,5,250,10,"n/a",52,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.385662480811985,2,1,1,0.0625,43.5040568486618
"26",32,50,7,"ef.0f27.e.3",371.332,1,1,"e5 8rn",2,-1,1,2,-1,0,2,4,500,8,60,2,NA,2,NA,9,8,5,5,7,8,9,4,3,1,1,1,NA,5,4500,8,"Simplify the language used - but good overall",50,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0134230203321407,1,1,1,0.0625,94.9750183646823
"27",33,18,7,"94.985.ab.c",1218.503,1,3,"gu5 0ul",1,-2,-1,2,4,4,1,0,800,6,40,2,NA,1,NA,11,11,11,11,11,11,11,3,3,1,1,1,NA,3,250,10,"none.",18,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.174353387144778,-1,1,1,0.0625,53.4830424632202
"28",34,47,7,"56a.ed.43.0",408.18,1,2,"M26 2YL",1,-2,0,4,0,0,2,4,500,7,50,1,NA,NA,NA,6,5,5,4,5,6,4,3,3,1,0,1,NA,5,3500,10,"None",47,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0143887374520996,0,5,5,1.5625,88.4194149437119
"29",35,45,7,"97.5.c8af.c",445.431,0,1,"YO10 5JB",1,3,5,2,1,5,2,4,0,9,70,NA,1,NA,NA,11,10,11,10,11,11,11,3,3,1,1,1,NA,4,2500,10,".",45,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.028399474521698,5,1,1,0.0625,127.173915505831
"30",36,62,7,"97.ee2.a8.5",250.987,1,1,"NE2 2JL",1,5,5,2,5,5,1,0,400,7,50,1,NA,NA,NA,11,11,11,11,11,11,11,3,3,1,0,0,"It seems the only opinion that matters to environmental regulators is those of oil barons and the like, and how much money the government can make out of it.",4,1750,9,"None.",62,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0289875368732523,5,1,1,0.0625,127.056996697565
"31",37,54,7,"9eda.e.31.9",341.159,0,2,"Ml6 8us",1,3,2,2,-1,1,1,0,100,1,1,1,NA,NA,NA,10,6,10,5,10,9,10,5,3,1,0,1,NA,2,750,10,".",54,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00133422301313661,2,1,1,0.0625,105.757416928799
"32",38,71,7,"03.85.ce0.1",197.356,1,1,"HU9 4NR",1,4,4,3,4,4,2,4,200,8,60,2,NA,1,NA,9,6,9,6,10,11,11,3,3,1,0,1,NA,3,2750,10,"Happy to participate, easy to answer, any more surveys-just let me know ;)",71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0220597180647322,4,3,3,0.5625,120.082942007063
"33",39,41,7,"9.b8.92a8.6",517.343,1,3,"E5",5,-1,1,4,1,5,2,4,300,9,70,2,NA,1,NA,10,8,9,7,9,9,9,4,4,0,0,1,NA,3,250,8,"No improvements needed",41,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.328504066972036,1,5,5,1.5625,46.3318246238233
"34",40,56,7,"97da.f.4f.9",338.944,1,1,"Rg14",1,3,3,2,2,2,2,4,300,8,60,1,NA,NA,NA,9,9,9,7,9,9,10,4,3,0,1,1,NA,4,5000,10,NA,56,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0120725812342692,3,1,1,0.0625,112.4498548805
"35",41,59,7,"7.1.506ba.0",316.449,0,2,"s75",1,3,4,2,3,5,1,0,200,9,70,1,NA,NA,NA,11,10,11,10,11,11,11,5,3,1,1,0,"goverment does not care",4,1750,9,"all good",59,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0408219945202552,4,1,1,0.0625,115.73667120036
"36",42,83,7,"9f8.87.2b.6",175.654,1,2,"TA2 7ER",1,4,3,2,2,3,2,4,400,9,70,2,NA,1,NA,6,6,6,6,6,6,6,3,3,0,0,1,NA,1,2500,10,"No comments",83,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.028399474521698,3,1,1,0.0625,109.311637698349
"37",43,43,7,"1.487.f0c.d",562.009,0,2,"UB2 4GU",1,4,4,2,3,3,2,4,400,2,5,1,NA,NA,NA,9,9,8,7,8,9,6,4,4,0,1,1,NA,4,3500,10,"Very pleased to learn new things , thanks a lot",43,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00142959280959443,4,1,1,0.0625,123.458253264828
"38",44,69,7,"9f.897.51.b",258.102,1,2,"GU170JW",2,3,4,2,4,4,2,4,400,6,40,1,NA,NA,NA,10,9,9,9,10,10,10,4,3,1,1,1,NA,5,5000,8,"None",69,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00803217169726427,4,1,1,0.0625,122.155678623071
"39",45,76,7,"97.cfbb.e.d",261.065,0,1,"dy6 9jf",1,1,1,4,0,0,1,0,0,10,80,NA,1,NA,NA,7,6,7,6,7,7,7,3,3,1,0,1,NA,4,2500,7,"clearer formatting",76,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0325231917055601,1,5,5,1.5625,93.396416580662
"40",46,85,7,"97.de6.84.2",199.582,1,3,"TS19 8EG",1,3,1,2,2,2,2,4,400,2,5,1,NA,NA,NA,11,11,11,10,10,11,11,3,3,1,0,1,NA,5,2250,10,"The survey was very interesting and informative",85,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00222469502211116,1,1,1,0.0625,97.0344153746263
"41",47,37,7,"9e.db0.4f.f",668.889,1,2,"NG8 4ET",1,3,3,2,0,0,2,4,0,7,50,NA,1,NA,NA,11,9,11,9,11,11,11,3,3,0,0,1,NA,3,750,9,"I can’t think of anything that could be improved.",37,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0689928714869514,3,1,1,0.0625,101.621697573962
"42",48,67,7,"59.6f.403.5",320.081,1,2,"Ws13 6ul",1,3,4,3,3,3,1,0,300,3,10,1,NA,NA,NA,10,7,10,6,10,10,10,4,3,1,1,1,NA,5,5000,10,"n/a",67,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00200200267067308,4,3,3,0.5625,124.034217059445
"43",49,38,7,"4.ed5.72a.b",670.634,0,1,"SE1",5,2,0,3,-1,3,2,4,0,4,20,NA,1,NA,NA,10,8,9,6,7,7,7,3,3,0,1,0,"n/a",5,3500,10,"n/a",38,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00573067470898498,0,3,3,0.5625,88.7205396885567
"44",50,75,7,"9e.d83.31.b",313.881,1,1,"RH16 4ZP",1,5,5,2,5,5,2,4,200,3,10,1,NA,NA,NA,11,11,11,10,11,11,11,5,5,1,0,1,NA,5,3500,10,"n/a",75,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00286123228103223,5,1,1,0.0625,132.273243384283
"45",51,49,7,"97c.0.2c8.4",586.517,0,5,"BT274UB",1,1,1,3,0,5,2,4,0,4,20,NA,1,NA,NA,11,9,8,8,9,9,9,4,3,0,1,1,NA,5,1750,7,"I found it difficult making a  choice when presented with various percentages of product effectiveness, price, and microplastic reduction.",49,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0114943794257351,1,3,3,0.5625,95.9690656409383
"46",52,44,7,"9b9.d2.82.1",640.734,0,3,"GU5 9BW",1,3,3,2,1,5,2,4,0,6,40,NA,2,2,NA,10,5,9,7,9,10,11,3,3,0,1,0,"For all the best intentions, most regulators and decision making entities these days only see the cost ramifications and usually do the bare minimum based on saving money. I am very sceptical of most of these entities ever doing what is best for the planet and the environment.",4,2500,10,"Wish you luck trying to get through to the morons that make decisions.",44,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0161293819298836,3,1,1,0.0625,111.667807193394
"47",53,72,7,"97c.3cd.e.e",339.861,1,1,"PO9 6BF",1,3,3,2,3,3,2,4,100,7,50,2,NA,1,NA,9,7,9,6,9,10,10,3,3,1,1,1,NA,5,1750,9,"N/a",72,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0289875368732523,3,1,1,0.0625,109.199068492241
"48",54,57,7,"97e.55.9f.1",481.237,1,1,"NP19 4AH",1,3,1,2,0,5,2,4,400,1,1,1,NA,NA,NA,8,8,11,8,11,7,5,5,3,1,0,1,NA,5,1250,5,"N/A",57,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.000800320170769155,1,1,1,0.0625,97.2974191982405
"49",55,51,7,"9b.811.39.d",601.481,1,3,"EH12",1,1,2,2,1,2,2,4,0,2,5,NA,1,NA,NA,9,6,8,7,8,9,9,3,3,0,1,1,NA,5,2750,9,"Have more info on effects",51,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00181983671698598,2,1,1,0.0625,105.665343290536
"50",56,89,7,"9.342a.f5.0",289.957,0,1,"ln11pr",2,2,2,4,1,3,2,4,200,8,60,1,NA,NA,NA,11,8,10,6,6,9,10,3,3,1,0,1,NA,5,1750,10,"n/a",89,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0348872590004405,2,5,5,1.5625,101.405976886303
"51",57,91,7,"97.596.e9.1",270.306,0,2,"LU6 1NJ",1,2,3,3,0,5,1,0,400,5,30,1,NA,NA,NA,11,7,10,7,8,10,11,4,3,0,1,1,NA,4,2250,10,"Nothing to note",91,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0134230203321407,3,3,3,0.5625,112.862276107482
"52",58,94,7,"9.f4.26b9.8",263.299,1,1,"Cf61 2ua",1,3,2,2,2,2,1,0,0,1,1,NA,1,NA,NA,10,10,9,9,9,9,9,5,3,0,0,0,"Profit concerned",5,3500,9,"Nothing",94,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.000285755109817069,2,1,1,0.0625,105.956290280325
"53",59,84,7,"9d62.6f.b.8",327.225,1,2,"RH1 3AZ",1,2,3,1,1,1,2,4,400,6,40,2,NA,2,NA,7,4,7,7,7,8,9,3,3,1,0,0,"It’s bigger than this",5,1750,5,"There was a lot of information to take in",84,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0231224174208543,3,0,0,0,110.239601597883
"54",60,90,7,"97.40.e10.c",293.97,1,2,"LE10 2TH",1,3,3,2,3,3,1,0,300,2,5,1,NA,NA,NA,11,9,10,9,10,11,11,5,4,1,1,1,NA,5,5000,10,"None",90,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00100050033358353,3,1,1,0.0625,114.591714089303
