"","X","Task","Choice","RID","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","block","design_offset","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","CV","av_A","av_B","av_C","ID","Respondent","Performance_A","Emission_A","Price_A","Performance_B","Emission_B","Price_B","Performance_C","Emission_C","Price_C"
"12","X3.3",4,3,11,263.33,1,3,"cf5 2ba",1,4,4,2,2,5,1000,9,70,1,NA,2,4,11,11,11,11,11,11,11,5,5,1,1,1,5,4500,9,11,1,1,1,1,12,3,0,0,0,50,40,2.5,10,90,5
"13","X4",1,2,25,174.037,0,1,"SS9 3DP",1,-1,2,2,3,3,300,7,50,2,NA,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,0,1,1,1,13,4,0,0,0,5,10,1,10,90,2.5
"14","X4.1",2,3,25,174.037,0,1,"SS9 3DP",1,-1,2,2,3,3,300,7,50,2,NA,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,0,1,1,1,14,4,0,0,0,10,40,5,50,10,0.5
"15","X4.2",3,2,25,174.037,0,1,"SS9 3DP",1,-1,2,2,3,3,300,7,50,2,NA,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,0,1,1,1,15,4,0,0,0,50,40,1,5,10,0.5
"16","X4.3",4,3,25,174.037,0,1,"SS9 3DP",1,-1,2,2,3,3,300,7,50,2,NA,1,0,11,9,11,8,8,10,11,3,3,1,0,1,5,2250,10,25,0,1,1,1,16,4,0,0,0,10,10,0.5,50,40,1
"17","X5",1,2,22,203.468,0,1,"M14 7PT",1,4,4,2,3,3,600,1,1,1,NA,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,1,1,1,1,17,5,0,0,0,50,10,1,5,40,5
"18","X5.1",2,2,22,203.468,0,1,"M14 7PT",1,4,4,2,3,3,600,1,1,1,NA,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,1,1,1,1,18,5,0,0,0,5,90,2.5,10,10,0.5
"19","X5.2",3,2,22,203.468,0,1,"M14 7PT",1,4,4,2,3,3,600,1,1,1,NA,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,1,1,1,1,19,5,0,0,0,50,90,2.5,5,40,1
"20","X5.3",4,2,22,203.468,0,1,"M14 7PT",1,4,4,2,3,3,600,1,1,1,NA,2,4,11,11,11,11,11,11,11,4,3,1,0,1,5,750,9,22,1,1,1,1,20,5,0,0,0,50,40,2.5,10,90,5
"21","X6",1,2,26,192.344,0,1,"tr13",1,2,2,2,2,5,0,8,60,NA,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,1,1,1,1,21,6,0,0,0,50,10,1,5,40,5
"22","X6.1",2,2,26,192.344,0,1,"tr13",1,2,2,2,2,5,0,8,60,NA,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,1,1,1,1,22,6,0,0,0,5,90,2.5,10,10,0.5
"23","X6.2",3,1,26,192.344,0,1,"tr13",1,2,2,2,2,5,0,8,60,NA,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,1,1,1,1,23,6,0,0,0,50,90,2.5,5,40,1
"24","X6.3",4,3,26,192.344,0,1,"tr13",1,2,2,2,2,5,0,8,60,NA,1,2,4,10,9,9,7,10,11,11,3,3,0,0,1,1,2500,9,26,1,1,1,1,24,6,0,0,0,50,40,2.5,10,90,5
"25","X7",1,3,12,264.952,0,1,"sw9 7de",1,2,2,2,2,4,600,10,80,1,NA,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,1,1,1,1,25,7,0,0,0,5,10,1,10,90,2.5
"26","X7.1",2,2,12,264.952,0,1,"sw9 7de",1,2,2,2,2,4,600,10,80,1,NA,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,1,1,1,1,26,7,0,0,0,10,40,5,50,10,0.5
"27","X7.2",3,3,12,264.952,0,1,"sw9 7de",1,2,2,2,2,4,600,10,80,1,NA,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,1,1,1,1,27,7,0,0,0,50,40,1,5,10,0.5
"28","X7.3",4,2,12,264.952,0,1,"sw9 7de",1,2,2,2,2,4,600,10,80,1,NA,1,0,10,3,8,5,9,6,9,1,2,0,0,0,5,2250,9,12,1,1,1,1,28,7,0,0,0,10,10,0.5,50,40,1
"29","X8",1,1,15,321.708,0,1,"NR7 9TG",1,2,0,3,-1,5,0,2,5,NA,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,1,1,1,1,29,8,0,0,0,50,10,1,5,40,5
"30","X8.1",2,2,15,321.708,0,1,"NR7 9TG",1,2,0,3,-1,5,0,2,5,NA,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,1,1,1,1,30,8,0,0,0,5,90,2.5,10,10,0.5
"31","X8.2",3,1,15,321.708,0,1,"NR7 9TG",1,2,0,3,-1,5,0,2,5,NA,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,1,1,1,1,31,8,0,0,0,50,90,2.5,5,40,1
"32","X8.3",4,1,15,321.708,0,1,"NR7 9TG",1,2,0,3,-1,5,0,2,5,NA,1,2,4,11,3,6,8,7,7,8,3,3,1,0,1,5,3500,10,15,1,1,1,1,32,8,0,0,0,50,40,2.5,10,90,5
"33","X9",1,3,29,280.863,0,1,"Ex16 5jh",1,2,4,2,4,5,300,3,10,1,NA,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,1,1,1,1,33,9,0,0,0,5,10,1,10,90,2.5
"34","X9.1",2,1,29,280.863,0,1,"Ex16 5jh",1,2,4,2,4,5,300,3,10,1,NA,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,1,1,1,1,34,9,0,0,0,10,40,5,50,10,0.5
"35","X9.2",3,3,29,280.863,0,1,"Ex16 5jh",1,2,4,2,4,5,300,3,10,1,NA,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,1,1,1,1,35,9,0,0,0,50,40,1,5,10,0.5
"36","X9.3",4,2,29,280.863,0,1,"Ex16 5jh",1,2,4,2,4,5,300,3,10,1,NA,1,0,11,8,9,7,11,11,9,4,4,0,1,1,4,2250,10,29,1,1,1,1,36,9,0,0,0,10,10,0.5,50,40,1
"37","X10",1,2,54,234.906,0,1,"NG2",1,2,3,2,3,3,300,10,80,1,NA,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,1,1,1,1,37,10,0,0,0,50,10,1,5,40,5
"38","X10.1",2,2,54,234.906,0,1,"NG2",1,2,3,2,3,3,300,10,80,1,NA,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,1,1,1,1,38,10,0,0,0,5,90,2.5,10,10,0.5
"39","X10.2",3,3,54,234.906,0,1,"NG2",1,2,3,2,3,3,300,10,80,1,NA,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,1,1,1,1,39,10,0,0,0,50,90,2.5,5,40,1
"40","X10.3",4,2,54,234.906,0,1,"NG2",1,2,3,2,3,3,300,10,80,1,NA,2,4,10,8,9,7,10,11,10,3,3,0,1,1,4,2500,10,54,1,1,1,1,40,10,0,0,0,50,40,2.5,10,90,5
"41","X11",1,3,13,356.621,0,1,"LA1 3DR",1,4,4,2,2,2,400,4,20,1,NA,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,1,1,1,1,41,11,0,0,0,50,10,1,5,40,5
"42","X11.1",2,2,13,356.621,0,1,"LA1 3DR",1,4,4,2,2,2,400,4,20,1,NA,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,1,1,1,1,42,11,0,0,0,5,90,2.5,10,10,0.5
"43","X11.2",3,3,13,356.621,0,1,"LA1 3DR",1,4,4,2,2,2,400,4,20,1,NA,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,1,1,1,1,43,11,0,0,0,50,90,2.5,5,40,1
"44","X11.3",4,2,13,356.621,0,1,"LA1 3DR",1,4,4,2,2,2,400,4,20,1,NA,2,4,11,11,10,10,10,10,10,5,4,0,1,0,5,2250,10,13,1,1,1,1,44,11,0,0,0,50,40,2.5,10,90,5
"45","X12",1,1,20,327.376,0,1,"LE11 3HD",1,2,1,2,0,3,400,4,20,2,NA,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,0,1,1,1,45,12,0,0,0,50,10,1,5,40,5
"46","X12.1",2,2,20,327.376,0,1,"LE11 3HD",1,2,1,2,0,3,400,4,20,2,NA,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,0,1,1,1,46,12,0,0,0,5,90,2.5,10,10,0.5
"47","X12.2",3,3,20,327.376,0,1,"LE11 3HD",1,2,1,2,0,3,400,4,20,2,NA,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,0,1,1,1,47,12,0,0,0,50,90,2.5,5,40,1
"48","X12.3",4,1,20,327.376,0,1,"LE11 3HD",1,2,1,2,0,3,400,4,20,2,NA,2,4,8,5,7,5,9,10,10,3,3,0,0,0,4,1250,9,20,0,1,1,1,48,12,0,0,0,50,40,2.5,10,90,5
"49","X13",1,1,61,244.601,0,1,"cv311hl",1,2,1,3,1,4,300,1,1,1,NA,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,1,1,1,1,49,13,0,0,0,50,10,1,5,40,5
"50","X13.1",2,1,61,244.601,0,1,"cv311hl",1,2,1,3,1,4,300,1,1,1,NA,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,1,1,1,1,50,13,0,0,0,5,90,2.5,10,10,0.5
"51","X13.2",3,3,61,244.601,0,1,"cv311hl",1,2,1,3,1,4,300,1,1,1,NA,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,1,1,1,1,51,13,0,0,0,50,90,2.5,5,40,1
"52","X13.3",4,1,61,244.601,0,1,"cv311hl",1,2,1,3,1,4,300,1,1,1,NA,2,4,9,2,7,1,9,9,9,3,3,1,0,1,4,1250,10,61,1,1,1,1,52,13,0,0,0,50,40,2.5,10,90,5
"53","X14",1,2,47,287.598,0,1,"EX48LF",1,-2,1,1,1,1,700,3,10,2,NA,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,0,1,1,1,53,14,0,0,0,50,10,1,5,40,5
"54","X14.1",2,3,47,287.598,0,1,"EX48LF",1,-2,1,1,1,1,700,3,10,2,NA,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,0,1,1,1,54,14,0,0,0,5,90,2.5,10,10,0.5
"55","X14.2",3,3,47,287.598,0,1,"EX48LF",1,-2,1,1,1,1,700,3,10,2,NA,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,0,1,1,1,55,14,0,0,0,50,90,2.5,5,40,1
"56","X14.3",4,1,47,287.598,0,1,"EX48LF",1,-2,1,1,1,1,700,3,10,2,NA,2,4,9,8,9,8,9,9,9,3,3,1,0,0,5,2250,10,47,0,1,1,1,56,14,0,0,0,50,40,2.5,10,90,5
"57","X15",1,2,37,302.42,1,2,"Sw1w 8QQ",1,3,3,2,4,4,300,5,30,1,NA,1,0,10,6,10,6,11,11,11,4,3,1,0,1,5,2750,10,37,1,1,1,1,57,15,0,0,0,5,10,1,10,90,2.5
"58","X15.1",2,2,37,302.42,1,2,"Sw1w 8QQ",1,3,3,2,4,4,300,5,30,1,NA,1,0,10,6,10,6,11,11,11,4,3,1,0,1,5,2750,10,37,1,1,1,1,58,15,0,0,0,10,40,5,50,10,0.5
"59","X15.2",3,1,37,302.42,1,2,"Sw1w 8QQ",1,3,3,2,4,4,300,5,30,1,NA,1,0,10,6,10,6,11,11,11,4,3,1,0,1,5,2750,10,37,1,1,1,1,59,15,0,0,0,50,40,1,5,10,0.5
"60","X15.3",4,2,37,302.42,1,2,"Sw1w 8QQ",1,3,3,2,4,4,300,5,30,1,NA,1,0,10,6,10,6,11,11,11,4,3,1,0,1,5,2750,10,37,1,1,1,1,60,15,0,0,0,10,10,0.5,50,40,1
"61","X16",1,1,49,293.828,0,1,"ab15",1,-3,-1,2,-1,0,0,8,60,NA,2,1,0,4,2,1,1,3,3,4,3,3,1,0,0,5,2500,10,49,0,1,1,1,61,16,0,0,0,5,10,1,10,90,2.5
"62","X16.1",2,1,49,293.828,0,1,"ab15",1,-3,-1,2,-1,0,0,8,60,NA,2,1,0,4,2,1,1,3,3,4,3,3,1,0,0,5,2500,10,49,0,1,1,1,62,16,0,0,0,10,40,5,50,10,0.5
"63","X16.2",3,1,49,293.828,0,1,"ab15",1,-3,-1,2,-1,0,0,8,60,NA,2,1,0,4,2,1,1,3,3,4,3,3,1,0,0,5,2500,10,49,0,1,1,1,63,16,0,0,0,50,40,1,5,10,0.5
"64","X16.3",4,1,49,293.828,0,1,"ab15",1,-3,-1,2,-1,0,0,8,60,NA,2,1,0,4,2,1,1,3,3,4,3,3,1,0,0,5,2500,10,49,0,1,1,1,64,16,0,0,0,10,10,0.5,50,40,1
"65","X17",1,1,21,358.892,0,1,"M33",1,1,1,4,1,2,600,9,70,2,NA,1,0,9,7,8,6,9,9,10,4,3,0,0,1,4,5000,7,21,0,1,1,1,65,17,0,0,0,5,10,1,10,90,2.5
"66","X17.1",2,1,21,358.892,0,1,"M33",1,1,1,4,1,2,600,9,70,2,NA,1,0,9,7,8,6,9,9,10,4,3,0,0,1,4,5000,7,21,0,1,1,1,66,17,0,0,0,10,40,5,50,10,0.5
"67","X17.2",3,3,21,358.892,0,1,"M33",1,1,1,4,1,2,600,9,70,2,NA,1,0,9,7,8,6,9,9,10,4,3,0,0,1,4,5000,7,21,0,1,1,1,67,17,0,0,0,50,40,1,5,10,0.5
"68","X17.3",4,3,21,358.892,0,1,"M33",1,1,1,4,1,2,600,9,70,2,NA,1,0,9,7,8,6,9,9,10,4,3,0,0,1,4,5000,7,21,0,1,1,1,68,17,0,0,0,10,10,0.5,50,40,1
"69","X18",1,1,40,324.522,1,2,"cr2",4,1,0,1,0,-1,400,7,50,1,NA,2,4,7,7,7,7,8,8,8,4,3,1,1,0,5,2250,7,40,1,1,1,1,69,18,0,0,0,50,10,1,5,40,5
"70","X18.1",2,2,40,324.522,1,2,"cr2",4,1,0,1,0,-1,400,7,50,1,NA,2,4,7,7,7,7,8,8,8,4,3,1,1,0,5,2250,7,40,1,1,1,1,70,18,0,0,0,5,90,2.5,10,10,0.5
"71","X18.2",3,1,40,324.522,1,2,"cr2",4,1,0,1,0,-1,400,7,50,1,NA,2,4,7,7,7,7,8,8,8,4,3,1,1,0,5,2250,7,40,1,1,1,1,71,18,0,0,0,50,90,2.5,5,40,1
"72","X18.3",4,1,40,324.522,1,2,"cr2",4,1,0,1,0,-1,400,7,50,1,NA,2,4,7,7,7,7,8,8,8,4,3,1,1,0,5,2250,7,40,1,1,1,1,72,18,0,0,0,50,40,2.5,10,90,5
"73","X19",1,1,10,484.501,1,1,"LU3 1AE",3,-4,2,2,2,2,800,3,10,2,NA,2,4,7,2,2,1,7,7,7,4,3,0,1,1,5,1250,10,10,0,1,1,1,73,19,0,0,0,50,10,1,5,40,5
"74","X19.1",2,3,10,484.501,1,1,"LU3 1AE",3,-4,2,2,2,2,800,3,10,2,NA,2,4,7,2,2,1,7,7,7,4,3,0,1,1,5,1250,10,10,0,1,1,1,74,19,0,0,0,5,90,2.5,10,10,0.5
"75","X19.2",3,3,10,484.501,1,1,"LU3 1AE",3,-4,2,2,2,2,800,3,10,2,NA,2,4,7,2,2,1,7,7,7,4,3,0,1,1,5,1250,10,10,0,1,1,1,75,19,0,0,0,50,90,2.5,5,40,1
"76","X19.3",4,1,10,484.501,1,1,"LU3 1AE",3,-4,2,2,2,2,800,3,10,2,NA,2,4,7,2,2,1,7,7,7,4,3,0,1,1,5,1250,10,10,0,1,1,1,76,19,0,0,0,50,40,2.5,10,90,5
"77","X20",1,3,46,351.475,0,1,"WS14DX",1,2,2,3,2,2,200,9,70,2,NA,1,0,8,7,8,8,8,8,9,2,3,0,0,0,5,750,5,46,0,1,1,1,77,20,0,0,0,5,10,1,10,90,2.5
"78","X20.1",2,1,46,351.475,0,1,"WS14DX",1,2,2,3,2,2,200,9,70,2,NA,1,0,8,7,8,8,8,8,9,2,3,0,0,0,5,750,5,46,0,1,1,1,78,20,0,0,0,10,40,5,50,10,0.5
"79","X20.2",3,1,46,351.475,0,1,"WS14DX",1,2,2,3,2,2,200,9,70,2,NA,1,0,8,7,8,8,8,8,9,2,3,0,0,0,5,750,5,46,0,1,1,1,79,20,0,0,0,50,40,1,5,10,0.5
"80","X20.3",4,1,46,351.475,0,1,"WS14DX",1,2,2,3,2,2,200,9,70,2,NA,1,0,8,7,8,8,8,8,9,2,3,0,0,0,5,750,5,46,0,1,1,1,80,20,0,0,0,10,10,0.5,50,40,1
"81","X21",1,2,59,318.927,1,3,"B15 3RL",1,3,2,3,3,5,300,8,60,1,NA,1,0,9,8,10,8,11,11,11,4,4,1,1,1,5,2250,10,59,1,1,1,1,81,21,0,0,0,5,10,1,10,90,2.5
"82","X21.1",2,3,59,318.927,1,3,"B15 3RL",1,3,2,3,3,5,300,8,60,1,NA,1,0,9,8,10,8,11,11,11,4,4,1,1,1,5,2250,10,59,1,1,1,1,82,21,0,0,0,10,40,5,50,10,0.5
"83","X21.2",3,2,59,318.927,1,3,"B15 3RL",1,3,2,3,3,5,300,8,60,1,NA,1,0,9,8,10,8,11,11,11,4,4,1,1,1,5,2250,10,59,1,1,1,1,83,21,0,0,0,50,40,1,5,10,0.5
"84","X21.3",4,3,59,318.927,1,3,"B15 3RL",1,3,2,3,3,5,300,8,60,1,NA,1,0,9,8,10,8,11,11,11,4,4,1,1,1,5,2250,10,59,1,1,1,1,84,21,0,0,0,10,10,0.5,50,40,1
"85","X22",1,3,77,170.202,0,1,"DN36 5XJ",3,5,3,2,5,5,300,2,5,1,NA,2,4,11,9,11,11,11,11,11,5,3,0,1,1,4,2250,10,77,1,1,1,1,85,22,0,0,0,50,10,1,5,40,5
"86","X22.1",2,2,77,170.202,0,1,"DN36 5XJ",3,5,3,2,5,5,300,2,5,1,NA,2,4,11,9,11,11,11,11,11,5,3,0,1,1,4,2250,10,77,1,1,1,1,86,22,0,0,0,5,90,2.5,10,10,0.5
"87","X22.2",3,3,77,170.202,0,1,"DN36 5XJ",3,5,3,2,5,5,300,2,5,1,NA,2,4,11,9,11,11,11,11,11,5,3,0,1,1,4,2250,10,77,1,1,1,1,87,22,0,0,0,50,90,2.5,5,40,1
"88","X22.3",4,3,77,170.202,0,1,"DN36 5XJ",3,5,3,2,5,5,300,2,5,1,NA,2,4,11,9,11,11,11,11,11,5,3,0,1,1,4,2250,10,77,1,1,1,1,88,22,0,0,0,50,40,2.5,10,90,5
"89","X23",1,3,48,353.361,0,1,"SM5 2BL",1,3,2,2,-3,5,500,7,50,1,NA,2,4,11,7,11,6,9,10,11,4,3,0,0,0,4,2250,10,48,1,1,1,1,89,23,0,0,0,50,10,1,5,40,5
"90","X23.1",2,2,48,353.361,0,1,"SM5 2BL",1,3,2,2,-3,5,500,7,50,1,NA,2,4,11,7,11,6,9,10,11,4,3,0,0,0,4,2250,10,48,1,1,1,1,90,23,0,0,0,5,90,2.5,10,10,0.5
"91","X23.2",3,3,48,353.361,0,1,"SM5 2BL",1,3,2,2,-3,5,500,7,50,1,NA,2,4,11,7,11,6,9,10,11,4,3,0,0,0,4,2250,10,48,1,1,1,1,91,23,0,0,0,50,90,2.5,5,40,1
"92","X23.3",4,3,48,353.361,0,1,"SM5 2BL",1,3,2,2,-3,5,500,7,50,1,NA,2,4,11,7,11,6,9,10,11,4,3,0,0,0,4,2250,10,48,1,1,1,1,92,23,0,0,0,50,40,2.5,10,90,5
"93","X24",1,3,35,372.395,0,1,"bs34",1,3,-4,2,-1,-1,400,1,1,1,NA,1,0,11,8,9,11,11,11,11,5,3,1,0,1,5,250,10,35,1,1,1,1,93,24,0,0,0,5,10,1,10,90,2.5
"94","X24.1",2,2,35,372.395,0,1,"bs34",1,3,-4,2,-1,-1,400,1,1,1,NA,1,0,11,8,9,11,11,11,11,5,3,1,0,1,5,250,10,35,1,1,1,1,94,24,0,0,0,10,40,5,50,10,0.5
"95","X24.2",3,2,35,372.395,0,1,"bs34",1,3,-4,2,-1,-1,400,1,1,1,NA,1,0,11,8,9,11,11,11,11,5,3,1,0,1,5,250,10,35,1,1,1,1,95,24,0,0,0,50,40,1,5,10,0.5
"96","X24.3",4,3,35,372.395,0,1,"bs34",1,3,-4,2,-1,-1,400,1,1,1,NA,1,0,11,8,9,11,11,11,11,5,3,1,0,1,5,250,10,35,1,1,1,1,96,24,0,0,0,10,10,0.5,50,40,1
"97","X25",1,3,68,283.621,1,1,"BA1 2tl",1,3,2,2,1,5,700,7,50,1,NA,1,0,10,7,10,7,10,11,11,3,3,1,1,0,5,2500,10,68,1,1,1,1,97,25,0,0,0,5,10,1,10,90,2.5
"98","X25.1",2,2,68,283.621,1,1,"BA1 2tl",1,3,2,2,1,5,700,7,50,1,NA,1,0,10,7,10,7,10,11,11,3,3,1,1,0,5,2500,10,68,1,1,1,1,98,25,0,0,0,10,40,5,50,10,0.5
"99","X25.2",3,3,68,283.621,1,1,"BA1 2tl",1,3,2,2,1,5,700,7,50,1,NA,1,0,10,7,10,7,10,11,11,3,3,1,1,0,5,2500,10,68,1,1,1,1,99,25,0,0,0,50,40,1,5,10,0.5
"100","X25.3",4,3,68,283.621,1,1,"BA1 2tl",1,3,2,2,1,5,700,7,50,1,NA,1,0,10,7,10,7,10,11,11,3,3,1,1,0,5,2500,10,68,1,1,1,1,100,25,0,0,0,10,10,0.5,50,40,1
"101","X26",1,3,50,365.414,0,1,"S14DT",1,2,1,3,1,2,300,2,5,1,NA,2,4,11,7,11,8,8,9,9,3,3,1,1,0,5,1750,9,50,1,1,1,1,101,26,0,0,0,50,10,1,5,40,5
"102","X26.1",2,2,50,365.414,0,1,"S14DT",1,2,1,3,1,2,300,2,5,1,NA,2,4,11,7,11,8,8,9,9,3,3,1,1,0,5,1750,9,50,1,1,1,1,102,26,0,0,0,5,90,2.5,10,10,0.5
"103","X26.2",3,3,50,365.414,0,1,"S14DT",1,2,1,3,1,2,300,2,5,1,NA,2,4,11,7,11,8,8,9,9,3,3,1,1,0,5,1750,9,50,1,1,1,1,103,26,0,0,0,50,90,2.5,5,40,1
"104","X26.3",4,3,50,365.414,0,1,"S14DT",1,2,1,3,1,2,300,2,5,1,NA,2,4,11,7,11,8,8,9,9,3,3,1,1,0,5,1750,9,50,1,1,1,1,104,26,0,0,0,50,40,2.5,10,90,5
"105","X27",1,1,28,412.273,0,1,"SG18 0HD",1,2,0,1,0,0,300,2,5,2,NA,1,0,6,4,4,4,4,4,4,3,3,0,0,0,4,2250,10,28,0,1,1,1,105,27,0,0,0,5,10,1,10,90,2.5
"106","X27.1",2,1,28,412.273,0,1,"SG18 0HD",1,2,0,1,0,0,300,2,5,2,NA,1,0,6,4,4,4,4,4,4,3,3,0,0,0,4,2250,10,28,0,1,1,1,106,27,0,0,0,10,40,5,50,10,0.5
"107","X27.2",3,1,28,412.273,0,1,"SG18 0HD",1,2,0,1,0,0,300,2,5,2,NA,1,0,6,4,4,4,4,4,4,3,3,0,0,0,4,2250,10,28,0,1,1,1,107,27,0,0,0,50,40,1,5,10,0.5
"108","X27.3",4,3,28,412.273,0,1,"SG18 0HD",1,2,0,1,0,0,300,2,5,2,NA,1,0,6,4,4,4,4,4,4,3,3,0,0,0,4,2250,10,28,0,1,1,1,108,27,0,0,0,10,10,0.5,50,40,1
